,class,value
1390,C,-6.0400000000000205
1391,A,5.639999999999986
1392,B,115.84
1393,B,50.389999999999986
1394,D,94.71000000000001
1395,D,92.03999999999999
1396,D,100.96
1397,B,87.84
1398,D,110.36
1399,D,116.03999999999999
1400,C,102.0
1401,C,83.56
1402,C,85.96
1403,D,94.0
1404,D,97.38999999999999
1405,B,45.15999999999997
1406,D,20.79000000000002
1407,D,97.44
1408,C,69.50999999999999
1409,D,108.78999999999999
1410,C,61.96000000000001
1411,D,81.99000000000001
1412,C,95.75
1413,D,104.16
1414,C,122.36
1415,C,56.24000000000001
1416,D,110.91
1417,D,84.51
1418,C,87.31
1419,D,-6.009999999999991
1420,C,80.71000000000001
1421,D,36.44
1422,D,94.0
1423,A,56.0
1424,C,1.9599999999999795
1425,D,96.59
1426,A,83.19
1427,D,115.24000000000001
1428,D,24.0
1429,A,54.44
1430,A,64.56
1431,C,102.71000000000001
1432,B,54.70999999999998
1433,B,44.04000000000002
1434,D,21.189999999999998
1435,B,77.19
1436,C,32.44
1437,C,65.91
1438,A,93.10999999999999
1439,A,22.310000000000002
1440,D,75.63999999999999
1441,D,87.84
1442,B,89.50999999999999
1443,B,56.75
1444,B,83.99
1445,D,109.84
1446,B,74.04000000000002
1447,A,95.64
1448,C,10.95999999999998
1449,A,55.389999999999986
1450,A,84.56
1451,B,85.03999999999999
1452,B,117.75
1453,B,85.75
1454,B,87.31
1455,D,120.31
1456,B,104.84
1457,A,119.84
1458,A,67.50999999999999
1459,C,7.360000000000014
1460,B,22.75
1461,C,55.70999999999998
1462,A,58.75
1463,A,83.03999999999999
1464,C,71.78999999999999
1465,D,11.0
1466,B,31.639999999999986
1467,A,42.24000000000001
1468,B,93.19
1469,B,85.75
1470,B,36.360000000000014
1471,C,54.75
1472,A,81.44
1473,A,54.31
1474,A,74.31
1475,C,37.50999999999999
1476,D,-3.160000000000025
1477,D,82.59
1478,C,101.38999999999999
1479,D,32.0
1480,D,57.359999999999985
1481,B,100.19
1482,B,103.63999999999999
1483,D,86.91
1484,C,34.0
1485,D,57.70999999999998
1486,B,78.56
1487,B,107.24000000000001
1488,A,85.16
1489,B,19.75
1490,B,96.56
1491,D,80.56
1492,B,66.31
1493,B,105.71000000000001
1494,A,46.56
1495,D,69.58999999999997
1496,C,91.31
1497,B,118.75
1498,D,73.84
1499,C,42.110000000000014
1500,C,41.24000000000001
1501,A,91.0
1502,B,-2.160000000000025
1503,A,20.0
1504,D,76.99000000000001
1505,B,120.36
1506,D,97.76
1507,D,31.389999999999986
1508,A,108.51
1509,B,67.96000000000001
1510,C,59.15999999999997
1511,D,17.839999999999975
1512,D,-10.090000000000032
1513,D,51.0
1514,C,34.19
1515,B,121.75
1516,A,58.0
1517,A,83.96000000000001
1518,A,-1.3600000000000136
1519,C,105.75
1520,D,59.19
1521,B,116.99
1522,D,54.24000000000001
1523,D,116.75999999999999
1524,D,50.589999999999975
1525,B,97.03999999999999
1526,D,98.0
1527,B,39.75999999999999
1528,A,52.110000000000014
1529,D,77.75
1530,C,82.75
1531,D,120.31
1532,B,117.0
1533,A,37.31
1534,B,93.31
1535,C,88.36
1536,A,103.0
1537,C,97.75999999999999
1538,D,96.75
1539,D,21.75
1540,D,34.110000000000014
1541,B,79.0
1542,D,80.75
1543,C,91.44
1544,D,70.15999999999997
1545,D,110.96
1546,A,111.0
1547,D,0.6399999999999864
1548,D,102.39
1549,D,69.99000000000001
1550,C,93.50999999999999
1551,C,88.76
1552,B,84.0
1553,D,13.360000000000014
1554,B,57.0
1555,B,96.91
1556,B,77.63999999999999
1557,A,88.50999999999999
1558,D,107.96
1559,C,104.11
1560,C,103.0
1561,D,73.75
1562,A,95.78999999999999
1563,C,93.0
1564,A,84.91
1565,C,74.99000000000001
1566,B,34.75999999999999
1567,C,58.75999999999999
1568,D,84.0
1569,B,112.0
1570,C,101.31
1571,B,12.509999999999991
1572,A,120.0
1573,D,76.56
1574,A,85.76
1575,A,75.96000000000001
1576,C,115.84
1577,A,88.71000000000001
1578,D,35.24000000000001
1579,A,115.36
1580,D,18.75
1581,A,113.0
1582,B,67.24000000000001
1583,D,72.75999999999999
1584,B,18.189999999999998
1585,A,104.75999999999999
1586,A,114.38999999999999
1587,C,113.78999999999999
1588,C,63.84
1589,A,73.10999999999999
1590,A,109.75999999999999
1591,A,59.0
1592,B,94.56
1593,D,32.75
1594,D,112.44
1595,C,92.75
1596,C,25.0
1597,A,32.589999999999975
1598,B,42.110000000000014
1599,A,63.0
1600,B,68.99000000000001
1601,C,78.38999999999999
1602,D,61.56
1603,A,94.0
1604,C,91.75
1605,A,105.75999999999999
1606,C,109.99
1607,B,89.0
1608,C,86.51
1609,B,34.15999999999997
1610,C,83.03999999999999
1611,A,103.03999999999999
1612,D,112.38999999999999
1613,C,83.71000000000001
1614,C,18.0
1615,D,57.19
1616,D,76.79000000000002
1617,B,16.75999999999999
1618,A,46.24000000000001
1619,C,94.50999999999999
1620,A,6.560000000000002
1621,A,71.19
1622,C,100.38999999999999
1623,D,52.04000000000002
1624,A,53.15999999999997
1625,B,84.16
1626,B,95.44
1627,D,65.0
1628,D,55.589999999999975
1629,D,37.360000000000014
1630,C,23.0
1631,B,47.70999999999998
1632,D,64.35999999999999
1633,A,102.44
1634,A,83.10999999999999
1635,C,100.0
1636,D,79.96000000000001
1637,A,44.44
1638,A,10.560000000000002
1639,B,100.36
1640,A,46.75
1641,B,119.78999999999999
1642,D,109.38999999999999
1643,C,68.63999999999999
1644,D,85.31
1645,C,93.96
1646,B,83.56
1647,B,94.99
1648,A,92.99
1649,C,100.56
1650,D,117.39
1651,A,25.909999999999968
1652,B,104.51
1653,D,10.79000000000002
1654,D,76.19
1655,B,90.96
1656,A,38.75
1657,D,67.24000000000001
1658,B,77.75
1659,B,77.91
1660,B,81.38999999999999
1661,D,87.64
1662,D,85.44
1663,C,32.79000000000002
1664,B,87.0
1665,B,28.389999999999986
1666,B,83.36
1667,B,82.03999999999999
1668,C,102.35999999999999
1669,A,-0.6399999999999864
1670,B,58.389999999999986
1671,C,117.50999999999999
1672,B,93.44
1673,C,26.50999999999999
1674,A,81.24000000000001
1675,A,31.639999999999986
1676,B,82.84
1677,D,88.64
1678,A,79.63999999999999
1679,C,-5.0400000000000205
1680,A,3.990000000000009
1681,D,30.50999999999999
1682,B,123.50999999999999
1683,D,31.75
1684,A,112.11
1685,C,88.96000000000001
1686,A,100.64
1687,C,101.03999999999999
1688,A,90.63999999999999
1689,A,90.31
1690,A,103.19
1691,B,98.78999999999999
1692,C,95.96
1693,B,65.15999999999997
1694,C,93.36
1695,B,83.75999999999999
1696,C,67.35999999999999
1697,C,54.75999999999999
1698,A,69.84
1699,C,82.76
1700,B,85.75
1701,B,84.84
1702,A,88.63999999999999
1703,D,105.03999999999999
1704,C,6.7900000000000205
1705,D,73.35999999999999
1706,D,31.0
1707,C,65.11000000000001
1708,B,42.44
1709,B,106.0
1710,C,47.75
1711,C,84.99000000000001
1712,D,33.589999999999975
1713,A,56.50999999999999
1714,C,60.0
1715,C,72.63999999999999
1716,B,35.50999999999999
1717,C,98.78999999999999
1718,C,-0.160000000000025
1719,C,71.15999999999997
1720,A,59.99000000000001
1721,A,57.31
1722,D,116.31
1723,A,60.31
1724,D,60.15999999999997
1725,B,99.96000000000001
1726,B,59.70999999999998
1727,C,16.439999999999998
1728,B,121.64
1729,B,46.389999999999986
1730,B,82.44
1731,D,41.56
1732,A,50.15999999999997
1733,A,24.0
1734,B,93.75
1735,A,87.75999999999999
1736,C,52.0
1737,D,22.75999999999999
1738,C,95.0
1739,A,114.99
1740,A,33.389999999999986
1741,C,99.03999999999999
1742,C,102.75
1743,B,79.03999999999999
1744,A,84.79000000000002
1745,B,98.96
1746,B,89.56
1747,C,105.96
1748,C,64.11000000000001
1749,D,51.24000000000001
1750,C,74.0
1751,D,52.75
1752,A,84.99000000000001
1753,D,67.35999999999999
1754,D,117.56
1755,D,103.03999999999999
1756,C,100.10999999999999
1757,B,107.99
1758,A,107.71000000000001
1759,B,120.44
1760,A,54.70999999999998
1761,C,58.99000000000001
1762,D,107.71000000000001
1763,B,95.78999999999999
1764,C,-9.0
1765,C,58.04000000000002
1766,C,101.36
1767,A,54.24000000000001
1768,A,37.19
1769,A,65.75
1770,D,89.31
1771,A,50.589999999999975
1772,B,77.75999999999999
1773,D,116.56
1774,C,86.91
1775,D,99.75
1776,A,56.15999999999997
1777,A,56.24000000000001
1778,B,118.50999999999999
1779,C,91.59
1780,B,37.75999999999999
1781,D,91.75
1782,C,47.15999999999997
1783,D,52.24000000000001
1784,B,123.64
1785,C,56.70999999999998
1786,B,96.31
1787,A,91.31
1788,C,101.19
1789,A,73.0
1790,C,107.50999999999999
1791,C,112.31
1792,C,109.75
1793,A,115.56
1794,A,47.589999999999975
1795,B,117.99
1796,B,89.35999999999999
1797,B,91.71000000000001
1798,A,42.31
1799,A,26.909999999999968
1800,A,88.56
1801,C,112.0
1802,D,85.63999999999999
1803,A,58.589999999999975
1804,B,95.91
1805,B,103.75
1806,D,111.50999999999999
1807,C,41.04000000000002
1808,D,87.99
1809,A,95.75999999999999
1810,A,48.56
1811,A,123.0
1812,D,117.31
1813,B,105.50999999999999
1814,B,59.639999999999986
1815,D,96.19
1816,D,49.04000000000002
1817,C,77.11000000000001
1818,A,104.64
1819,B,59.19
1820,B,-12.009999999999991
1821,D,45.589999999999975
1822,D,96.24000000000001
1823,A,95.64
1824,B,85.99000000000001
1825,A,98.63999999999999
1826,D,119.50999999999999
1827,C,101.11
1828,D,52.359999999999985
1829,B,86.16
1830,B,108.75
1831,D,50.70999999999998
1832,A,84.31
1833,D,119.0
1834,C,118.10999999999999
1835,A,82.78999999999999
1836,C,97.50999999999999
1837,D,120.19
1838,A,9.310000000000002
1839,D,43.15999999999997
1840,A,115.78999999999999
1841,D,63.75
1842,D,62.96000000000001
1843,B,103.75
1844,C,67.84
1845,C,15.639999999999986
1846,D,54.44
1847,B,104.50999999999999
1848,B,65.0
1849,D,111.11
1850,D,86.78999999999999
1851,A,70.0
1852,D,40.75999999999999
1853,D,104.91
1854,A,88.35999999999999
1855,C,92.99000000000001
1856,A,76.03999999999999
1857,D,107.0
1858,C,88.35999999999999
1859,A,54.79000000000002
1860,B,28.75
1861,B,42.44
1862,A,22.360000000000014
1863,D,101.84
1864,B,56.91
1865,D,29.70999999999998
1866,D,66.70999999999998
1867,C,11.0
1868,C,90.44
1869,D,92.35999999999999
1870,D,75.56
1871,C,91.03999999999999
1872,B,88.91
1873,D,38.0
1874,D,100.24000000000001
1875,A,109.03999999999999
1876,D,118.71000000000001
1877,C,24.0
1878,A,109.36
1879,C,103.75
1880,B,50.75
1881,D,95.59
1882,C,89.36
1883,D,34.589999999999975
1884,B,115.24000000000001
1885,A,20.189999999999998
1886,C,85.03999999999999
1887,A,21.189999999999998
1888,A,98.78999999999999
1889,B,101.0
1890,A,90.19
1891,A,45.15999999999997
1892,C,106.71000000000001
1893,D,1.9599999999999795
1894,D,108.91
1895,B,63.24000000000001
1896,B,83.31
1897,D,106.31
1898,D,92.31
1899,A,60.31
1900,A,-2.160000000000025
1901,D,-7.0400000000000205
1902,A,45.389999999999986
1903,C,89.10999999999999
1904,B,65.84
1905,B,88.64
1906,D,29.0
1907,D,-3.160000000000025
1908,D,111.19
1909,B,90.16
1910,C,97.99000000000001
1911,D,81.24000000000001
1912,D,93.0
1913,A,115.16
1914,C,104.0
1915,A,5.0
1916,D,49.389999999999986
1917,A,76.96000000000001
1918,D,109.78999999999999
1919,A,92.0
1920,D,85.78999999999999
1921,A,57.0
1922,D,92.31
1923,D,61.70999999999998
1924,A,33.75
1925,A,106.56
1926,C,56.44
1927,A,84.31
1928,C,71.03999999999999
1929,B,44.15999999999997
1930,B,106.16
1931,C,70.79000000000002
1932,A,110.03999999999999
1933,A,81.56
1934,A,34.19
1935,B,84.0
1936,A,109.75
1937,D,-3.0400000000000205
1938,B,90.56
1939,C,117.99
1940,D,61.0
1941,A,104.56
1942,B,108.38999999999999
1943,D,35.0
1944,B,90.50999999999999
1945,C,104.0
1946,D,75.91
1947,A,109.0
1948,D,61.84
1949,B,100.10999999999999
1950,D,91.63999999999999
1951,B,61.19
1952,A,76.75
1953,A,72.15999999999997
1954,B,92.10999999999999
1955,A,84.79000000000002
1956,A,104.0
1957,C,106.19
1958,D,120.84
1959,D,95.99
1960,C,62.19
1961,B,86.71000000000001
1962,D,83.0
1963,C,15.75
1964,A,23.839999999999975
1965,A,24.04000000000002
1966,D,101.0
1967,D,15.79000000000002
1968,A,111.84
1969,B,92.19
1970,D,65.58999999999997
1971,B,100.96000000000001
1972,B,43.0
1973,B,73.0
1974,A,99.0
1975,B,100.59
1976,D,108.0
1977,B,22.75999999999999
1978,B,106.71000000000001
1979,C,96.75
1980,B,109.36
1981,A,59.389999999999986
1982,D,58.639999999999986
1983,A,97.75
1984,B,31.389999999999986
1985,B,9.75
1986,B,48.389999999999986
1987,C,105.19
1988,A,20.04000000000002
1989,B,111.96
1990,B,92.36
1991,C,21.95999999999998
1992,D,108.75999999999999
1993,B,78.84
1994,B,118.64
1995,A,101.84
1996,A,87.91
1997,A,50.359999999999985
1998,A,98.78999999999999
1999,C,92.84
