class,value,x
D,96.31,137.0
A,122.99,99.0
C,81.24000000000000,124.0
A,87.84,104.0
C,38.75,185.0
A,69.96000000000000,148.0
A,120.04000000000000,86.0
C,102.0,80.0
B,31.0,180.0
D,87.44,134.0
A,79.16,128.0
D,65.44,166.0
D,86.04000000000000,86.0
C,107.36,108.0
B,107.44,134.0
A,109.91,103.0
D,120.99,101.0
A,120.99,99.0
D,99.11,83.0
D,81.04000000000000,164.0
D,94.76,82.0
A,44.76000000000000,168.0
A,95.19,141.0
B,97.39000000000000,131.0
A,80.0,160.0
C,110.19,91.0
C,78.36000000000000,158.0
B,84.84,96.0
B,24.390000000000000,181.0
D,93.44,134.0
D,33.16000000000000,172.0
B,119.51000000000000,107.0
C,117.51,93.0
B,110.36,92.0
B,83.39,81.0
A,84.31,163.0
A,80.04000000000000,136.0
C,35.75,185.0
D,108.36,108.0
A,96.16,122.0
B,81.16,122.0
C,65.19,159.0
B,21.96000000000000,198.0
A,70.75,145.0
B,15.360000000000000,192.0
A,93.11,83.0
C,85.19,91.0
B,82.36000000000000,142.0
C,43.0,190.0
A,14.75,195.0
D,62.04000000000000,164.0
A,79.36000000000000,158.0
A,111.11000000000000,117.0
A,89.11000000000000,133.0
C,102.96,102.0
C,117.44,84.0
B,101.56,138.0
B,85.75,135.0
A,97.91,147.0
D,90.76000000000000,132.0
B,86.64,106.0
D,108.75,115.0
D,80.24000000000000,126.0
B,91.44,134.0
A,23.360000000000000,192.0
B,11.79000000000000,189.0
C,122.99,101.0
A,2.839999999999980,196.0
B,45.44,166.0
B,106.16,122.0
D,10.190000000000000,191.0
B,49.390000000000000,181.0
C,58.51000000000000,157.0
A,91.39000000000000,131.0
C,23.160000000000000,178.0
D,39.590000000000000,171.0
A,89.0,80.0
B,102.16,122.0
C,59.75,155.0
C,60.79000000000000,161.0
D,103.0,120.0
B,16.840000000000000,196.0
B,59.71000000000000,173.0
C,31.75,195.0
D,49.71000000000000,177.0
C,97.36000000000000,142.0
B,92.91,97.0
C,90.36,108.0
A,103.79000000000000,89.0
A,84.24000000000000,126.0
B,108.44,134.0
A,110.84,104.0
A,49.56,162.0
C,32.44,184.0
D,70.96000000000000,152.0
A,116.16,122.0
D,113.51,93.0
B,81.71000000000000,127.0
C,114.04000000000000,86.0
B,36.590000000000000,171.0
A,72.96000000000000,148.0
D,121.36,92.0
B,81.99000000000000,149.0
B,87.36,108.0
C,49.76000000000000,168.0
C,57.19,159.0
B,72.75,135.0
A,52.31,163.0
B,77.51000000000000,157.0
C,94.71000000000000,123.0
B,5.909999999999970,197.0
A,37.71000000000000,177.0
A,100.71000000000000,123.0
A,93.19,141.0
C,46.16000000000000,178.0
D,96.36,92.0
A,73.0,150.0
C,95.36,108.0
D,104.75,105.0
C,82.39,81.0
A,90.16,122.0
A,88.19,159.0
B,72.19,141.0
C,98.96000000000000,148.0
A,89.96000000000000,152.0
C,115.56,112.0
C,13.910000000000000,197.0
D,79.84,154.0
B,2.0,200.0
D,17.04000000000000,186.0
C,44.71000000000000,177.0
C,92.0,90.0
A,95.91,147.0
D,101.04000000000000,114.0
B,108.64,106.0
B,100.91,103.0
D,109.11000000000000,117.0
D,96.59,129.0
C,-2.160000000000030,196.0
A,83.56,162.0
C,121.0,90.0
C,74.75,145.0
B,68.91,153.0
D,108.31,87.0
B,42.75,175.0
A,107.64,94.0
B,97.79000000000000,111.0
D,1.0,200.0
C,34.71000000000000,173.0
A,110.96,102.0
C,102.96,102.0
D,113.44,84.0
C,91.19,141.0
A,75.31,163.0
D,80.64000000000000,156.0
C,86.64000000000000,156.0
A,27.75,195.0
D,89.16,122.0
C,100.99,99.0
C,74.79000000000000,161.0
B,82.91,147.0
A,94.64,94.0
C,121.44,84.0
D,109.64,94.0
D,17.190000000000000,191.0
B,13.0,200.0
D,7.509999999999990,193.0
D,112.11,83.0
C,79.0,140.0
D,89.75,125.0
B,101.56,112.0
D,122.04000000000000,86.0
D,35.79000000000000,189.0
A,85.75,85.0
B,81.0,140.0
C,86.11000000000000,133.0
A,114.84,104.0
A,42.590000000000000,171.0
C,81.75,125.0
D,95.0,80.0
C,86.11000000000000,133.0
A,81.31,163.0
A,108.44,84.0
A,0.5099999999999910,193.0
B,97.91,103.0
A,106.96,98.0
D,21.310000000000000,187.0
D,57.56,162.0
A,97.04000000000000,114.0
D,107.0,80.0
A,30.560000000000000,188.0
C,86.0,90.0
A,12.96000000000000,198.0
A,89.04000000000000,86.0
D,95.19,141.0
C,92.39000000000000,131.0
D,87.0,100.0
B,93.0,130.0
B,28.590000000000000,179.0
D,50.76000000000000,168.0
D,46.0,170.0
A,111.76,82.0
C,107.19,141.0
A,32.0,190.0
A,53.24000000000000,176.0
C,108.84,104.0
D,73.59000000000000,171.0
B,90.31,137.0
D,95.19,109.0
C,78.79000000000000,161.0
A,91.75,105.0
A,87.75,125.0
A,111.51000000000000,107.0
A,68.36000000000000,158.0
D,-1.3600000000000100,194.0
A,51.76000000000000,182.0
A,52.75,175.0
A,101.0,140.0
C,95.84,104.0
A,100.64000000000000,144.0
C,78.59,129.0
C,89.64,94.0
D,103.39000000000000,131.0
B,47.75,185.0
C,81.75,85.0
A,48.110000000000000,183.0
A,57.71000000000000,173.0
C,91.51000000000000,157.0
A,67.51000000000000,143.0
D,89.16,128.0
D,40.24000000000000,176.0
A,31.310000000000000,187.0
D,62.51000000000000,157.0
A,38.44,184.0
D,104.24000000000000,124.0
D,27.79000000000000,189.0
C,74.79000000000000,161.0
B,109.75,95.0
D,15.560000000000000,188.0
D,115.11000000000000,117.0
D,101.19,141.0
A,111.71000000000000,127.0
A,119.64,94.0
C,92.99,99.0
D,45.56,188.0
B,109.75,105.0
A,85.39000000000000,131.0
D,99.96,98.0
C,0.9099999999999680,197.0
C,118.0,80.0
B,24.390000000000000,181.0
A,72.64000000000000,156.0
C,84.0,110.0
D,85.36000000000000,158.0
B,122.91,97.0
B,101.91,97.0
D,120.04000000000000,86.0
A,56.51000000000000,157.0
A,118.96,102.0
A,111.24000000000000,124.0
A,80.04000000000000,136.0
C,88.51,93.0
A,38.16000000000000,178.0
D,99.0,140.0
A,-14.010000000000000,199.0
C,95.11,83.0
B,6.990000000000010,199.0
A,90.39000000000000,119.0
B,102.11000000000000,117.0
B,86.96,102.0
B,81.75,155.0
C,49.390000000000000,169.0
B,110.04000000000000,136.0
C,28.24000000000000,176.0
A,89.39000000000000,131.0
C,79.79000000000000,139.0
B,117.0,120.0
B,-13.010000000000000,199.0
A,73.44,166.0
D,84.31,113.0
C,87.51000000000000,143.0
B,16.560000000000000,188.0
A,41.110000000000000,167.0
D,64.71000000000000,177.0
C,95.04000000000000,136.0
A,23.96000000000000,198.0
B,80.0,120.0
C,117.16,122.0
D,118.75,95.0
B,105.71000000000000,127.0
B,87.91,147.0
C,26.440000000000000,184.0
A,43.590000000000000,171.0
D,94.76000000000000,132.0
C,99.59,121.0
D,26.0,190.0
C,16.560000000000000,188.0
C,113.44,116.0
A,100.51000000000000,143.0
A,27.75,185.0
A,113.51,93.0
A,119.56,88.0
C,36.31,187.0
B,53.110000000000000,183.0
A,83.96000000000000,148.0
B,96.31,113.0
A,96.39000000000000,131.0
D,77.91,153.0
D,85.75,155.0
B,109.44,134.0
A,98.16,128.0
D,4.909999999999970,197.0
A,91.19,141.0
D,-5.0,200.0
D,95.56,138.0
B,62.390000000000000,169.0
C,16.910000000000000,197.0
C,38.71000000000000,177.0
A,49.75,175.0
D,51.0,180.0
B,106.31,87.0
B,8.360000000000010,192.0
A,104.11000000000000,117.0
D,111.59,121.0
A,29.79000000000000,189.0
C,106.84,104.0
A,55.31,163.0
A,80.99000000000000,151.0
C,41.390000000000000,169.0
A,56.31,163.0
C,43.04000000000000,186.0
A,86.76000000000000,132.0
D,92.96,98.0
C,49.76000000000000,182.0
A,84.04000000000000,86.0
D,101.11000000000000,117.0
D,103.36,108.0
A,27.190000000000000,191.0
D,103.16,128.0
A,108.31,137.0
C,59.75,175.0
C,108.51,93.0
D,123.0,90.0
D,121.04000000000000,114.0
C,91.56,112.0
A,66.24000000000000,176.0
C,66.75,165.0
D,73.84,154.0
C,19.04000000000000,186.0
C,16.96000000000000,198.0
D,110.76000000000000,132.0
B,79.51000000000000,143.0
C,88.99,99.0
A,70.16000000000000,172.0
C,95.04000000000000,136.0
B,91.75,145.0
D,28.51000000000000,193.0
C,21.110000000000000,183.0
C,5.990000000000010,199.0
C,13.0,200.0
D,33.44,184.0
A,105.0,100.0
A,52.51000000000000,157.0
D,62.590000000000000,171.0
A,116.99,99.0
D,96.64000000000000,144.0
D,92.99000000000000,149.0
A,13.75,185.0
A,86.44,116.0
C,67.79000000000000,161.0
B,107.96,102.0
D,95.36,92.0
A,91.16,122.0
D,94.36,108.0
C,118.0,120.0
A,86.75,115.0
A,86.75,105.0
B,23.99000000000000,199.0
A,88.19,159.0
A,59.24000000000000,176.0
A,72.19,159.0
C,5.190000000000000,191.0
B,95.36,92.0
B,100.64,94.0
D,69.51000000000000,143.0
C,104.0,130.0
B,3.9599999999999800,198.0
B,37.79000000000000,189.0
B,50.110000000000000,183.0
C,121.0,100.0
C,28.390000000000000,181.0
D,83.59,121.0
C,68.04000000000000,164.0
B,103.0,120.0
C,26.24000000000000,176.0
D,101.0,80.0
D,65.84,154.0
C,103.0,120.0
C,118.91,97.0
C,62.110000000000000,167.0
C,-4.160000000000030,196.0
B,85.96,102.0
D,56.360000000000000,158.0
D,52.75,175.0
B,19.75,195.0
C,50.19,159.0
D,-6.25,195.0
C,101.75,115.0
C,93.51,93.0
C,85.79000000000000,139.0
D,63.51000000000000,157.0
A,75.0,170.0
D,44.04000000000000,186.0
B,88.19,159.0
D,87.36000000000000,142.0
B,83.19,109.0
D,46.0,180.0
C,28.160000000000000,178.0
B,95.96000000000000,148.0
C,78.51000000000000,157.0
D,116.99,99.0
A,102.71000000000000,127.0
B,109.79000000000000,89.0
B,41.0,180.0
C,48.44,166.0
D,39.75,185.0
A,68.19,159.0
A,16.0,200.0
B,95.99000000000000,149.0
B,79.79000000000000,161.0
C,106.75,115.0
D,117.84,96.0
A,103.0,110.0
D,83.76000000000000,132.0
B,89.91,147.0
B,103.44,116.0
A,96.75,85.0
C,74.0,160.0
A,94.71000000000000,127.0
B,75.84,146.0
C,88.84,104.0
C,79.99000000000000,149.0
A,17.560000000000000,188.0
B,33.590000000000000,179.0
A,104.99,101.0
B,69.0,140.0
B,70.19,141.0
A,40.31,187.0
C,83.0,160.0
A,91.99000000000000,151.0
C,94.0,110.0
B,101.36,92.0
C,66.36000000000000,142.0
D,-15.0,200.0
A,80.76,82.0
B,114.76000000000000,118.0
A,88.91,103.0
A,110.0,80.0
D,-2.009999999999990,199.0
C,33.24000000000000,174.0
B,96.19,141.0
C,96.75,95.0
B,16.190000000000000,191.0
B,74.11000000000000,167.0
C,107.75,125.0
D,-14.010000000000000,199.0
B,116.84,96.0
A,25.310000000000000,187.0
D,105.24000000000000,126.0
D,66.16000000000000,172.0
A,91.51000000000000,107.0
D,109.51,93.0
B,25.75,185.0
A,81.19,159.0
B,32.24000000000000,174.0
D,90.31,137.0
B,97.19,109.0
C,111.51,93.0
D,110.44,134.0
B,91.75,145.0
B,42.71000000000000,177.0
C,10.0,200.0
A,28.840000000000000,196.0
B,98.75,145.0
B,102.76,82.0
C,23.99000000000000,199.0
A,51.390000000000000,181.0
A,90.36,92.0
B,84.79000000000000,139.0
D,107.36,92.0
A,59.71000000000000,177.0
D,79.79000000000000,161.0
B,89.11,83.0
A,121.79000000000000,89.0
D,84.56,162.0
C,114.75,85.0
D,114.0,130.0
C,73.76000000000000,132.0
D,81.75,115.0
D,83.91,147.0
D,101.96,98.0
D,98.0,140.0
D,32.16000000000000,172.0
C,40.590000000000000,179.0
A,91.79000000000000,89.0
D,117.0,90.0
D,103.64,106.0
B,88.79000000000000,111.0
D,17.0,200.0
A,45.71000000000000,177.0
C,38.0,180.0
C,77.84,154.0
D,104.0,100.0
D,113.96,102.0
A,55.16000000000000,178.0
A,99.64,94.0
D,83.19,141.0
A,53.16000000000000,178.0
A,120.36,108.0
C,30.51000000000000,193.0
B,70.75,145.0
C,113.31,113.0
D,68.19,159.0
B,97.79000000000000,111.0
B,23.110000000000000,183.0
C,33.04000000000000,186.0
B,77.56,138.0
B,93.75,115.0
B,35.75,175.0
C,17.310000000000000,187.0
B,58.590000000000000,179.0
D,116.39,81.0
C,65.75,165.0
C,78.44,134.0
D,52.360000000000000,158.0
C,30.75,175.0
A,82.96000000000000,148.0
B,27.0,190.0
C,84.79000000000000,89.0
D,96.56,88.0
B,99.75,135.0
C,115.0,100.0
C,66.16000000000000,172.0
C,63.0,160.0
A,87.99000000000000,149.0
C,35.0,180.0
B,119.84,96.0
D,106.19,141.0
C,99.75,125.0
A,32.640000000000000,194.0
A,94.91,103.0
A,89.0,80.0
D,26.51000000000000,193.0
C,44.04000000000000,186.0
A,77.36000000000000,142.0
A,85.31,137.0
D,84.91,147.0
D,85.84,154.0
A,72.44,134.0
D,7.0,200.0
D,67.64000000000000,156.0
A,36.71000000000000,173.0
A,114.51000000000000,107.0
A,14.75,195.0
B,88.0,130.0
C,60.56,162.0
C,29.71000000000000,177.0
A,11.840000000000000,196.0
D,30.0,190.0
B,89.24000000000000,124.0
B,4.0,190.0
A,1.3600000000000100,192.0
D,53.31,163.0
B,74.64000000000000,156.0
D,116.56,88.0
C,57.19,159.0
C,101.96,98.0
B,106.0,120.0
B,79.51000000000000,143.0
D,112.99,101.0
D,93.64,94.0
B,44.56,188.0
A,104.11,83.0
D,61.76000000000000,168.0
C,98.0,80.0
D,101.75,85.0
A,-9.090000000000030,197.0
A,105.76,82.0
B,37.44,184.0
C,55.24000000000000,174.0
D,34.79000000000000,189.0
D,69.96000000000000,148.0
C,102.39000000000000,131.0
B,55.75,155.0
D,106.75,135.0
C,35.590000000000000,171.0
D,61.91,153.0
D,60.91,153.0
D,103.11000000000000,117.0
C,113.96,102.0
C,107.0,120.0
A,86.19,109.0
A,108.11,83.0
D,115.75,115.0
B,13.75,185.0
A,111.99,99.0
C,97.59,129.0
C,86.75,95.0
A,72.79000000000000,161.0
D,106.56,138.0
A,56.24000000000000,176.0
A,44.04000000000000,186.0
B,108.0,140.0
A,73.91,153.0
B,86.79000000000000,161.0
C,80.31,137.0
B,84.24000000000000,124.0
D,95.96,98.0
B,102.0,80.0
C,105.36,92.0
A,43.44,184.0
C,94.11,83.0
D,111.96,98.0
B,82.96000000000000,148.0
C,70.19,141.0
B,95.56,88.0
C,33.51000000000000,193.0
A,95.76,82.0
A,86.79000000000000,139.0
C,87.56,112.0
A,92.75,155.0
A,104.84,104.0
C,113.71000000000000,127.0
C,32.110000000000000,183.0
A,19.51000000000000,193.0
C,46.44,166.0
C,92.31,113.0
C,61.96000000000000,152.0
B,1.509999999999990,193.0
A,94.04000000000000,114.0
A,70.75,145.0
D,93.99000000000000,151.0
B,114.75,105.0
B,84.71000000000000,127.0
C,115.31,113.0
D,121.91,97.0
C,82.44,134.0
A,76.19,159.0
B,26.79000000000000,189.0
D,79.16,128.0
C,44.110000000000000,183.0
C,55.91,153.0
D,88.19,91.0
A,90.31,137.0
D,69.51000000000000,157.0
A,86.79000000000000,89.0
D,90.39,81.0
C,33.75,185.0
A,80.0,80.0
B,13.96000000000000,198.0
D,54.24000000000000,176.0
A,84.96,98.0
B,70.79000000000000,139.0
A,83.99,101.0
A,71.96000000000000,152.0
D,62.16000000000000,178.0
C,99.16,122.0
B,99.0,90.0
C,95.56,138.0
D,-3.090000000000030,197.0
B,90.11000000000000,133.0
A,41.590000000000000,179.0
C,101.96,98.0
C,89.04000000000000,136.0
D,89.04000000000000,86.0
D,120.0,80.0
C,38.56,188.0
B,71.91,153.0
C,55.0,160.0
D,13.96000000000000,198.0
A,114.0,90.0
B,38.71000000000000,173.0
B,90.79000000000000,111.0
B,119.91,97.0
B,46.56,188.0
A,93.91,103.0
D,92.44,134.0
C,41.16000000000000,178.0
B,4.990000000000010,199.0
C,32.75,195.0
A,25.310000000000000,187.0
B,45.16000000000000,172.0
A,104.19,91.0
B,99.19,91.0
C,30.24000000000000,174.0
C,72.99000000000000,151.0
A,53.44,166.0
B,97.44,84.0
D,18.0,200.0
B,97.75,135.0
B,1.75,195.0
A,85.91,153.0
D,29.440000000000000,184.0
C,88.84,96.0
D,102.96,98.0
C,68.75,155.0
A,98.59,129.0
A,61.04000000000000,164.0
A,21.75,195.0
C,83.99,99.0
A,102.59,129.0
A,53.16000000000000,172.0
C,85.76,82.0
B,113.0,100.0
A,100.11000000000000,117.0
A,84.19,159.0
A,60.0,170.0
B,109.76,82.0
B,29.560000000000000,188.0
A,80.19,141.0
A,52.110000000000000,167.0
B,78.71000000000000,123.0
D,103.75,95.0
C,91.04000000000000,86.0
A,103.0,120.0
D,106.44,84.0
A,83.51000000000000,157.0
C,92.0,130.0
B,83.56,88.0
D,75.44,166.0
D,122.96,102.0
B,31.190000000000000,191.0
A,49.75,165.0
A,110.36,108.0
B,59.44,166.0
C,22.75,185.0
D,29.24000000000000,176.0
C,86.76000000000000,118.0
B,41.76000000000000,168.0
B,80.71000000000000,127.0
D,85.56,112.0
A,90.75,155.0
B,89.51000000000000,157.0
A,94.19,141.0
B,46.16000000000000,178.0
D,68.75,165.0
C,101.04000000000000,136.0
C,78.39000000000000,131.0
A,97.91,103.0
D,109.19,91.0
B,86.99000000000000,149.0
A,110.0,80.0
B,16.640000000000000,194.0
B,68.16000000000000,172.0
D,100.19,91.0
B,83.0,150.0
B,-6.090000000000030,197.0
D,100.0,100.0
A,102.76000000000000,132.0
C,104.99,99.0
B,106.31,137.0
A,97.44,116.0
C,102.36000000000000,142.0
C,89.91,97.0
B,64.91,153.0
C,47.71000000000000,173.0
D,-0.6399999999999860,192.0
A,53.75,175.0
C,43.590000000000000,171.0
B,52.24000000000000,176.0
D,49.76000000000000,168.0
A,42.0,180.0
D,81.59,129.0
C,15.640000000000000,194.0
D,70.51000000000000,143.0
D,59.91,153.0
A,107.19,109.0
C,90.36000000000000,158.0
C,118.75,95.0
C,112.39000000000000,119.0
A,62.56,162.0
B,81.16,128.0
A,81.31,163.0
B,89.75,105.0
C,17.840000000000000,196.0
A,110.59,129.0
B,61.590000000000000,179.0
D,86.11,83.0
C,83.31,113.0
D,84.24000000000000,126.0
C,67.91,153.0
D,23.310000000000000,187.0
C,8.990000000000010,199.0
C,96.96,98.0
C,93.11000000000000,133.0
A,90.16,128.0
D,68.96000000000000,148.0
A,114.59,121.0
D,121.91,103.0
A,109.96,102.0
C,94.79000000000000,139.0
D,110.75,115.0
B,84.75,95.0
D,90.64000000000000,144.0
A,2.0,200.0
A,108.56,112.0
C,26.110000000000000,183.0
B,80.51000000000000,157.0
A,86.56,112.0
A,34.24000000000000,174.0
D,119.16,122.0
B,104.56,112.0
C,76.51000000000000,157.0
A,108.44,116.0
B,79.75,155.0
C,29.24000000000000,176.0
C,64.31,163.0
B,92.64000000000000,156.0
B,47.76000000000000,168.0
C,120.79000000000000,111.0
D,78.44,134.0
C,101.19,109.0
B,6.9599999999999800,198.0
B,20.04000000000000,186.0
B,83.51000000000000,107.0
B,60.0,180.0
D,97.91,147.0
