,age,income,class
1248,78,18604,class 3
1249,42,16185,class 3
1250,25,17792,class 3
1251,44,18170,class 3
1252,75,17474,class 3
1253,55,18334,class 3
1254,57,16289,class 3
1255,28,17784,class 3
1256,52,15113,class 3
1257,71,18973,class 3
1258,55,16982,class 3
1259,43,15618,class 3
1260,74,17632,class 3
1261,21,16698,class 3
1262,49,15852,class 3
1263,20,18449,class 3
1264,52,17848,class 3
1265,79,17288,class 3
1266,78,16395,class 3
1267,52,18771,class 3
1268,32,19784,class 3
1269,43,15419,class 3
1270,26,16831,class 3
1271,27,15044,class 3
1272,58,15234,class 3
1273,48,15504,class 3
1274,77,15746,class 3
1275,23,18515,class 3
1276,47,15047,class 3
1277,40,17021,class 3
1278,43,17587,class 3
1279,35,19412,class 3
1280,60,16264,class 3
1281,57,17274,class 3
1282,28,15048,class 3
1283,58,17299,class 3
1284,27,16056,class 3
1285,75,18067,class 3
1286,32,19078,class 3
1287,22,18909,class 3
1288,25,18179,class 3
1289,79,16221,class 3
1290,72,16709,class 3
1291,72,16183,class 3
1292,42,19345,class 3
1293,51,15646,class 3
1294,60,16888,class 3
1295,36,17548,class 3
1296,42,18492,class 3
1297,80,17368,class 3
1298,47,17099,class 3
1299,57,15290,class 3
1300,29,19202,class 3
1301,21,16117,class 3
1302,26,17022,class 3
1303,78,19535,class 3
1304,80,19532,class 3
1305,79,19263,class 3
1306,68,16584,class 3
1307,21,17428,class 3
1308,63,15496,class 3
1309,32,17767,class 3
1310,55,19192,class 3
1311,52,16110,class 3
1312,23,16565,class 3
1313,49,17344,class 3
1314,57,16437,class 3
1315,26,17241,class 3
1316,69,18887,class 3
1317,41,16187,class 3
1318,35,18300,class 3
1319,26,16850,class 3
1320,30,15101,class 3
1321,41,18525,class 3
1322,70,17870,class 3
1323,21,17987,class 3
1324,53,17475,class 3
1325,75,15893,class 3
1326,66,16998,class 3
1327,78,17464,class 3
1328,69,15801,class 3
1329,26,15182,class 3
1330,77,19503,class 3
1331,53,19404,class 3
1332,53,15349,class 3
1333,26,15466,class 3
1334,28,16624,class 3
1335,43,19046,class 3
1336,43,15633,class 3
1337,22,18788,class 3
1338,65,18217,class 3
1339,25,15613,class 3
1340,24,16869,class 3
1341,32,18142,class 3
1342,22,19523,class 3
1343,35,17861,class 3
1344,31,19085,class 3
1345,36,17342,class 3
1346,37,16358,class 3
1347,57,16947,class 3
1348,64,18102,class 3
1349,50,15155,class 3
1350,72,17457,class 3
1351,80,19287,class 3
1352,36,18703,class 3
1353,47,18224,class 3
1354,66,17398,class 3
1355,23,18294,class 3
1356,70,16289,class 3
1357,37,17155,class 3
1358,38,15613,class 3
1359,34,15517,class 3
1360,42,15469,class 3
1361,28,15775,class 3
1362,61,18686,class 3
1363,62,15236,class 3
1364,69,17445,class 3
1365,46,18991,class 3
1366,70,15815,class 3
1367,47,19643,class 3
1368,27,15106,class 3
1369,38,16310,class 3
1370,74,16588,class 3
1371,46,16208,class 3
1372,33,19468,class 3
1373,75,18032,class 3
1374,32,18258,class 3
1375,70,16362,class 3
1376,67,18339,class 3
1377,67,18684,class 3
1378,24,15027,class 3
1379,61,19511,class 3
1380,29,15785,class 3
1381,62,17203,class 3
1382,79,18417,class 3
1383,47,15347,class 3
1384,29,18293,class 3
1385,65,15147,class 3
1386,79,17283,class 3
1387,71,18636,class 3
1388,30,16977,class 3
1389,61,16084,class 3
1390,79,18857,class 3
1391,48,18014,class 3
1392,38,16738,class 3
1393,67,16776,class 3
1394,47,18390,class 3
1395,33,17538,class 3
1396,24,19795,class 3
1397,71,18459,class 3
1398,49,16026,class 3
1399,20,17116,class 3
1400,21,18383,class 3
1401,51,16940,class 3
1402,36,19908,class 3
1403,33,17608,class 3
1404,30,15190,class 3
1405,31,17020,class 3
1406,32,16030,class 3
1407,79,18938,class 3
1408,25,16209,class 3
1409,63,16578,class 3
1410,43,16853,class 3
1411,44,18908,class 3
1412,32,19133,class 3
1413,75,18380,class 3
1414,27,16501,class 3
1415,21,18295,class 3
1416,46,15013,class 3
1417,55,16561,class 3
1418,78,15305,class 3
1419,46,19671,class 3
1420,27,16917,class 3
1421,67,19681,class 3
1422,32,19269,class 3
1423,38,17415,class 3
1424,48,18590,class 3
1425,52,19258,class 3
1426,73,18856,class 3
1427,70,16991,class 3
1428,47,15227,class 3
1429,77,19629,class 3
1430,71,15966,class 3
1431,26,19729,class 3
1432,41,15322,class 3
1433,76,15928,class 3
1434,55,17176,class 3
1435,57,17663,class 3
1436,47,18389,class 3
1437,45,19992,class 3
1438,53,18728,class 3
1439,33,16108,class 3
1440,46,16350,class 3
1441,29,19768,class 3
1442,44,15842,class 3
1443,76,16299,class 3
1444,72,17150,class 3
1445,43,17847,class 3
1446,55,16798,class 3
1447,68,18329,class 3
1448,60,16643,class 3
1449,70,18212,class 3
1450,78,18932,class 3
1451,26,16451,class 3
1452,54,19349,class 3
1453,48,18990,class 3
1454,55,19797,class 3
1455,79,19025,class 3
1456,66,19756,class 3
1457,80,17767,class 3
1458,69,19239,class 3
1459,42,19915,class 3
1460,74,15538,class 3
1461,31,16822,class 3
1462,39,16598,class 3
1463,62,15948,class 3
1464,23,15723,class 3
1465,61,17712,class 3
1466,54,15963,class 3
1467,27,16264,class 3
1468,63,18949,class 3
1469,74,16570,class 3
1470,50,17989,class 3
1471,64,18075,class 3
1472,45,15368,class 3
1473,69,19908,class 3
1474,60,16206,class 3
1475,66,16042,class 3
1476,37,19730,class 3
1477,29,19971,class 3
1478,68,15936,class 3
1479,34,19656,class 3
1480,27,15939,class 3
1481,24,19373,class 3
1482,35,19109,class 3
1483,48,18642,class 3
1484,21,17244,class 3
1485,37,18326,class 3
1486,50,17221,class 3
1487,76,19176,class 3
1488,58,19929,class 3
1489,31,16461,class 3
1490,45,15460,class 3
1491,23,15853,class 3
1492,60,18969,class 3
1493,67,16842,class 3
1494,78,16376,class 3
1495,41,17672,class 3
1496,42,17758,class 3
1497,60,15793,class 3
1498,79,18818,class 3
1499,46,19851,class 3
1500,55,18717,class 3
1501,20,17370,class 3
1502,55,19201,class 3
1503,65,16968,class 3
1504,29,18596,class 3
1505,65,16389,class 3
1506,42,19951,class 3
1507,72,18033,class 3
1508,25,17891,class 3
1509,67,16614,class 3
1510,63,16682,class 3
1511,33,18032,class 3
1512,31,18707,class 3
1513,67,18240,class 3
1514,69,17475,class 3
1515,76,17323,class 3
1516,26,17344,class 3
1517,57,15263,class 3
1518,74,15037,class 3
1519,21,19803,class 3
1520,63,18607,class 3
1521,36,15699,class 3
1522,46,16240,class 3
1523,75,17449,class 3
1524,60,16165,class 3
1525,55,17089,class 3
1526,40,19829,class 3
1527,25,15964,class 3
1528,35,16370,class 3
1529,21,18664,class 3
1530,44,17106,class 3
1531,73,19412,class 3
1532,48,19871,class 3
1533,80,15662,class 3
1534,77,19982,class 3
1535,26,19477,class 3
1536,65,16457,class 3
1537,66,18569,class 3
1538,53,18652,class 3
1539,32,15014,class 3
1540,44,19809,class 3
1541,58,16863,class 3
1542,49,17565,class 3
1543,70,18948,class 3
1544,78,19590,class 3
1545,56,19937,class 3
1546,60,19608,class 3
1547,28,15399,class 3
1548,75,18531,class 3
1549,27,19760,class 3
1550,29,19317,class 3
1551,55,19969,class 3
1552,24,16811,class 3
1553,52,19819,class 3
1554,49,15655,class 3
1555,48,15289,class 3
1556,26,16024,class 3
1557,62,17361,class 3
1558,42,15145,class 3
1559,69,15389,class 3
1560,28,15702,class 3
1561,52,19662,class 3
1562,63,16387,class 3
1563,38,16105,class 3
1564,60,18960,class 3
1565,57,19710,class 3
1566,61,15727,class 3
1567,67,15960,class 3
1568,79,19807,class 3
1569,63,19742,class 3
1570,25,18267,class 3
1571,37,17624,class 3
1572,72,18326,class 3
1573,52,19335,class 3
1574,41,19462,class 3
1575,60,16927,class 3
1576,74,16877,class 3
1577,79,16450,class 3
1578,26,15270,class 3
1579,67,17163,class 3
1580,48,16381,class 3
1581,26,19139,class 3
1582,35,18295,class 3
1583,80,18930,class 3
1584,38,17084,class 3
1585,20,18057,class 3
1586,36,17163,class 3
1587,48,16265,class 3
1588,76,19093,class 3
1589,69,17654,class 3
1590,68,17331,class 3
1591,20,19704,class 3
1592,71,15856,class 3
1593,31,18121,class 3
1594,33,17952,class 3
1595,35,15011,class 3
1596,77,17480,class 3
1597,43,16931,class 3
1598,20,19521,class 3
1599,21,19419,class 3
1600,36,18086,class 3
1601,60,18372,class 3
1602,71,16923,class 3
1603,72,19758,class 3
1604,26,18697,class 3
1605,40,17574,class 3
1606,24,16339,class 3
1607,51,19077,class 3
1608,43,15983,class 3
1609,42,18038,class 3
1610,48,18563,class 3
1611,29,16174,class 3
1612,63,19167,class 3
1613,72,18951,class 3
1614,38,16610,class 3
1615,30,18290,class 3
1616,26,17739,class 3
1617,25,15885,class 3
1618,55,19710,class 3
1619,57,17117,class 3
1620,40,19063,class 3
1621,55,16397,class 3
1622,59,16536,class 3
1623,64,15970,class 3
1624,74,19145,class 3
1625,56,19588,class 3
1626,23,17888,class 3
1627,25,19929,class 3
1628,42,15379,class 3
1629,53,18377,class 3
1630,80,17236,class 3
1631,71,17115,class 3
1632,78,18350,class 3
1633,53,15346,class 3
1634,59,15120,class 3
1635,53,16693,class 3
1636,74,18317,class 3
1637,63,19256,class 3
1638,45,18065,class 3
1639,71,15726,class 3
1640,67,15215,class 3
1641,70,16505,class 3
1642,80,17156,class 3
1643,27,16538,class 3
1644,57,16554,class 3
1645,74,17658,class 3
1646,57,19796,class 3
1647,53,15576,class 3
1648,25,18384,class 3
1649,27,19287,class 3
1650,71,16584,class 3
1651,47,15783,class 3
1652,41,17111,class 3
1653,51,19942,class 3
1654,35,17065,class 3
1655,34,16227,class 3
1656,64,15158,class 3
1657,53,17432,class 3
1658,79,15123,class 3
1659,43,18616,class 3
1660,27,18376,class 3
1661,36,16902,class 3
1662,62,15023,class 3
1663,39,15230,class 3
1664,27,19890,class 3
1665,77,19156,class 3
1666,44,16980,class 3
1667,30,17965,class 3
1668,22,19150,class 3
1669,28,15147,class 3
1670,24,18904,class 3
1671,31,15802,class 3
1672,67,15164,class 3
1673,78,19577,class 3
1674,65,16338,class 3
1675,23,16619,class 3
1676,20,15427,class 3
1677,63,16149,class 3
1678,39,15729,class 3
1679,26,17526,class 3
1680,23,17755,class 3
1681,42,18720,class 3
1682,59,16477,class 3
1683,53,17561,class 3
1684,50,17039,class 3
1685,63,18798,class 3
1686,27,17552,class 3
1687,24,19382,class 3
1688,49,19609,class 3
1689,36,18803,class 3
1690,27,19742,class 3
1691,25,18497,class 3
1692,44,19564,class 3
1693,31,16698,class 3
1694,34,19098,class 3
1695,52,15986,class 3
1696,45,15043,class 3
1697,55,19653,class 3
1698,48,16610,class 3
1699,59,15465,class 3
1700,31,17382,class 3
1701,60,15222,class 3
1702,72,17284,class 3
1703,67,18349,class 3
1704,24,16093,class 3
1705,29,17873,class 3
1706,79,19580,class 3
1707,49,16163,class 3
1708,40,15967,class 3
1709,67,16693,class 3
1710,55,17933,class 3
1711,35,15392,class 3
1712,35,15744,class 3
1713,49,18500,class 3
1714,22,19522,class 3
1715,74,15253,class 3
1716,67,19982,class 3
1717,56,16653,class 3
1718,29,18164,class 3
1719,45,19976,class 3
1720,65,15218,class 3
1721,34,19995,class 3
1722,65,19668,class 3
1723,36,15242,class 3
1724,56,17504,class 3
1725,67,16268,class 3
1726,58,15963,class 3
1727,64,15534,class 3
1728,70,15344,class 3
1729,62,18716,class 3
1730,72,16158,class 3
1731,22,17945,class 3
1732,65,16898,class 3
1733,46,18944,class 3
1734,70,19500,class 3
1735,28,16480,class 3
1736,22,18740,class 3
1737,56,19002,class 3
1738,26,16389,class 3
1739,61,18472,class 3
1740,51,19954,class 3
1741,31,19059,class 3
1742,60,16462,class 3
1743,71,16085,class 3
1744,70,18581,class 3
1745,44,15752,class 3
1746,63,15632,class 3
1747,76,19416,class 3
1748,34,19326,class 3
1749,70,15938,class 3
1750,67,17345,class 3
1751,30,15069,class 3
1752,37,15367,class 3
1753,68,18627,class 3
1754,78,19164,class 3
1755,36,17199,class 3
1756,67,17985,class 3
1757,72,15979,class 3
1758,49,17816,class 3
1759,74,15279,class 3
1760,43,16840,class 3
1761,76,17563,class 3
1762,20,16669,class 3
1763,49,15003,class 3
1764,51,19737,class 3
1765,22,19267,class 3
1766,31,17433,class 3
1767,76,16592,class 3
1768,38,16088,class 3
1769,21,17723,class 3
1770,61,19647,class 3
1771,67,17865,class 3
1772,63,17373,class 3
1773,38,18547,class 3
1774,26,16867,class 3
1775,47,19554,class 3
1776,75,15460,class 3
1777,44,17948,class 3
1778,41,19800,class 3
1779,30,18219,class 3
1780,51,17049,class 3
1781,39,16144,class 3
1782,36,16426,class 3
1783,25,17464,class 3
1784,29,19438,class 3
1785,76,17461,class 3
1786,55,17471,class 3
1787,26,18863,class 3
1788,34,19117,class 3
1789,36,15289,class 3
1790,66,16719,class 3
1791,67,19046,class 3
1792,47,15220,class 3
1793,39,16984,class 3
1794,63,15914,class 3
1795,53,15312,class 3
1796,34,18131,class 3
1797,20,15404,class 3
1798,36,16378,class 3
1799,37,19193,class 3
1800,53,21364,class 3
1801,67,24230,class 3
1802,51,29011,class 3
1803,75,27384,class 3
1804,75,28612,class 3
1805,68,23992,class 3
1806,22,22535,class 3
1807,60,24002,class 3
1808,38,21186,class 3
1809,30,22273,class 3
1810,31,28895,class 3
1811,75,23144,class 3
1812,76,21827,class 3
1813,58,20174,class 3
1814,27,27032,class 3
1815,59,26046,class 3
1816,77,29424,class 3
1817,78,28703,class 3
1818,26,20339,class 3
1819,22,26580,class 3
1820,49,25784,class 3
1821,23,21038,class 3
1822,76,22692,class 3
1823,40,28238,class 3
1824,47,23857,class 3
1825,32,24021,class 3
1826,60,22512,class 3
1827,56,25657,class 3
1828,42,20648,class 3
1829,28,27089,class 3
1830,58,28791,class 3
1831,72,23030,class 3
1832,74,23488,class 3
1833,39,22612,class 3
1834,53,29444,class 3
1835,21,26342,class 3
1836,41,22791,class 3
1837,29,20024,class 3
1838,59,27280,class 3
1839,48,29466,class 3
1840,20,20652,class 3
1841,61,28876,class 3
1842,74,27979,class 3
1843,30,25886,class 3
1844,55,27804,class 3
1845,79,20927,class 3
1846,58,22341,class 3
1847,66,25033,class 3
1848,36,22498,class 3
1849,46,29459,class 3
1850,22,29204,class 3
1851,73,27043,class 3
1852,79,29051,class 3
1853,57,24269,class 3
1854,20,27613,class 3
1855,75,20771,class 3
1856,39,25623,class 3
1857,21,23625,class 3
1858,29,20492,class 3
1859,64,27053,class 3
1860,33,27961,class 3
1861,58,26206,class 3
1862,77,23354,class 3
1863,44,22245,class 3
1864,70,21715,class 3
1865,45,20988,class 3
1866,72,28807,class 3
1867,41,20331,class 3
1868,75,20195,class 3
1869,30,26268,class 3
1870,71,21720,class 3
1871,28,28071,class 3
1872,48,20609,class 3
1873,21,28109,class 3
1874,31,28919,class 3
1875,47,29866,class 3
1876,27,21803,class 3
1877,45,27009,class 3
1878,51,27076,class 3
1879,34,23509,class 3
1880,25,26172,class 3
1881,65,23729,class 3
1882,58,24800,class 3
1883,56,21426,class 3
1884,58,27826,class 3
1885,63,26131,class 3
1886,65,21057,class 3
1887,67,22675,class 3
1888,48,26953,class 3
1889,40,29446,class 3
1890,68,27184,class 3
1891,31,23915,class 3
1892,79,26927,class 3
1893,52,22127,class 3
1894,75,25824,class 3
1895,52,29090,class 3
1896,35,28885,class 3
1897,61,23121,class 3
1898,24,20084,class 3
1899,31,24820,class 3
1900,74,23010,class 3
1901,37,24751,class 3
1902,32,25787,class 3
1903,77,25405,class 3
1904,25,25842,class 3
1905,33,28291,class 3
1906,77,23984,class 3
1907,75,25691,class 3
1908,40,22003,class 3
1909,48,29311,class 3
1910,24,28022,class 3
1911,20,26329,class 3
1912,59,28259,class 3
1913,23,21098,class 3
1914,42,24458,class 3
1915,53,21892,class 3
1916,73,25558,class 3
1917,64,24443,class 3
1918,47,29212,class 3
1919,50,24138,class 3
1920,35,27534,class 3
1921,71,21832,class 3
1922,25,20561,class 3
1923,58,24105,class 3
1924,58,25937,class 3
1925,52,28035,class 3
1926,44,26639,class 3
1927,55,23331,class 3
1928,62,23557,class 3
1929,23,20649,class 3
1930,77,26801,class 3
1931,21,21752,class 3
1932,28,26231,class 3
1933,60,27635,class 3
1934,58,21494,class 3
1935,59,27312,class 3
1936,71,24526,class 3
1937,52,27101,class 3
1938,63,23211,class 3
1939,47,20522,class 3
1940,75,23038,class 3
1941,32,25162,class 3
1942,45,20073,class 3
1943,73,24999,class 3
1944,57,22452,class 3
1945,42,24144,class 3
1946,65,28540,class 3
1947,35,23150,class 3
1948,31,29817,class 3
1949,27,20961,class 3
1950,53,28914,class 3
1951,53,28221,class 3
1952,59,25076,class 3
1953,31,29883,class 3
1954,25,28698,class 3
1955,51,22917,class 3
1956,62,25896,class 3
1957,30,20135,class 3
1958,68,20694,class 3
1959,80,27560,class 3
1960,64,23031,class 3
1961,21,25758,class 3
1962,64,21414,class 3
1963,24,23039,class 3
1964,22,25073,class 3
1965,42,24645,class 3
1966,25,26437,class 3
1967,25,22194,class 3
1968,28,25930,class 3
1969,70,24064,class 3
1970,39,23699,class 3
1971,69,21921,class 3
1972,48,25346,class 3
1973,62,29459,class 3
1974,48,22714,class 3
1975,27,20622,class 3
1976,77,25725,class 3
1977,25,28669,class 3
1978,55,24265,class 3
1979,51,27368,class 3
1980,42,27219,class 3
1981,24,27335,class 3
1982,31,29490,class 3
1983,66,20319,class 3
1984,49,20630,class 3
1985,27,26476,class 3
1986,36,21017,class 3
1987,75,23277,class 3
1988,55,26255,class 3
1989,27,26383,class 3
1990,54,21662,class 3
1991,25,26020,class 3
1992,78,27216,class 3
1993,76,25293,class 3
1994,68,29625,class 3
1995,69,23091,class 3
1996,23,20255,class 3
1997,27,29016,class 3
1998,28,24970,class 3
1999,53,23071,class 3
2000,69,24935,class 3
2001,75,23328,class 3
2002,46,23762,class 3
2003,71,21600,class 3
2004,20,26138,class 3
2005,40,27916,class 3
2006,54,24994,class 3
2007,24,21380,class 3
2008,79,22114,class 3
2009,60,29587,class 3
2010,49,23749,class 3
2011,79,23551,class 3
2012,64,26703,class 3
2013,37,21989,class 3
2014,35,26177,class 3
2015,24,25389,class 3
2016,40,29035,class 3
2017,39,29903,class 3
2018,42,20495,class 3
2019,54,20424,class 3
2020,75,27048,class 3
2021,77,24551,class 3
2022,43,26986,class 3
2023,76,20832,class 3
2024,50,27865,class 3
2025,39,29591,class 3
2026,55,28374,class 3
2027,74,20844,class 3
2028,46,24192,class 3
2029,64,23164,class 3
2030,67,21468,class 3
2031,55,23471,class 3
2032,53,20159,class 3
2033,48,23869,class 3
2034,44,25200,class 3
2035,56,24575,class 3
2036,22,29884,class 3
2037,56,29914,class 3
2038,69,29821,class 3
2039,54,22541,class 3
2040,20,23922,class 3
2041,78,29414,class 3
2042,38,27831,class 3
2043,64,20398,class 3
2044,68,26799,class 3
2045,58,22700,class 3
2046,34,24383,class 3
2047,37,24981,class 3
2048,61,23020,class 3
2049,25,24638,class 3
2050,58,25662,class 3
2051,56,24145,class 3
2052,70,29982,class 3
2053,29,26779,class 3
2054,71,22765,class 3
2055,24,24174,class 3
2056,78,22176,class 3
2057,69,29679,class 3
2058,64,20943,class 3
2059,40,25400,class 3
2060,70,27990,class 3
2061,59,25737,class 3
2062,66,29465,class 3
2063,20,27001,class 3
2064,72,21739,class 3
2065,60,26989,class 3
2066,48,23606,class 3
2067,54,25006,class 3
2068,32,23561,class 3
2069,69,27795,class 3
2070,44,29124,class 3
2071,73,21973,class 3
2072,38,29829,class 3
2073,69,25797,class 3
2074,30,25630,class 3
2075,34,23578,class 3
2076,79,21589,class 3
2077,79,21062,class 3
2078,57,28103,class 3
2079,39,21502,class 3
2080,65,22186,class 3
2081,66,23713,class 3
2082,27,25972,class 3
2083,39,29252,class 3
2084,65,24078,class 3
2085,24,22333,class 3
2086,60,28484,class 3
2087,40,27646,class 3
2088,74,26877,class 3
2089,59,23201,class 3
2090,48,24521,class 3
2091,47,28320,class 3
2092,23,23880,class 3
2093,63,29875,class 3
2094,56,22400,class 3
2095,65,27911,class 3
2096,40,22390,class 3
2097,21,23579,class 3
2098,32,25635,class 3
2099,50,20684,class 3
