Table 1
date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-05,NY,38891,,95,,,,5034,0,,1030,,0,,,,,700,1666733,,8956,0,,,,,,,39194200,296935,39194200,296935,,,,,,0,,0
2021-03-05,OH,17656,14752,467,2594,50782,50782,919,87,7184,266,,0,,,,,185,976230,834857,1750,0,,85756,,,861702,921707,,0,10187678,43131,,1751798,,,,0,10187678,43131
2021-03-05,OK,4534,,0,,24157,24157,366,54,,109,3135060,8299,,,3135060,,,427558,,917,0,21760,,,,389240,410778,,0,3562618,9216,148204,,,,,0,3536729,9046
2021-03-05,OR,2284,,32,,8699,8699,154,17,,30,,0,,,3571922,,14,156673,,386,0,,,,,226145,,,0,3798067,10629,,,,,,0,3798067,10629
2021-03-05,PA,24262,,43,,,,1587,0,,325,3926038,10767,,,,,173,944196,811019,2757,0,,,,,,859218,10629284,59517,10629284,59517,,,,,4737057,12998,,0
2021-03-05,PR,2056,1747,3,309,,,136,0,,23,305972,0,,,395291,,18,101066,93114,199,0,83339,,,,20103,91833,,0,407038,199,,,,,,0,415664,0
2021-03-05,RI,2541,,2,,9020,9020,141,18,,25,674515,1387,,,2935432,,16,128121,,394,0,,,,,152549,,3087981,22869,3087981,22869,,,,,802636,1781,,0
2021-03-05,SC,8699,7697,39,1002,20605,20605,664,63,,163,4603549,25299,106319,,4473811,,88,523258,448275,1695,0,27965,110026,,,578013,230793,,0,5126807,26994,134284,893871,,,,0,5051824,26489
2021-03-05,SD,1896,,0,,6681,6681,74,17,,16,313260,839,,,,,8,113229,100412,164,0,,,,,104870,109237,,0,698456,1800,,,,,426489,1003,698456,1800
2021-03-05,TN,11534,9272,33,2262,18837,18837,939,58,,246,,0,,,6103817,,135,780894,653053,1445,0,,139970,,,752764,755474,,0,6856581,21699,,1420353,,,,0,6856581,21699
2021-03-05,TX,44134,,256,,,,5065,0,,1530,,0,,,,,,2678295,2314187,6853,0,156198,210359,,,2622199,2470308,,0,19820052,55875,1025537,2624414,,,,0,19820052,55875
2021-03-05,UT,1970,,15,,14841,14841,238,58,2339,85,1553533,3773,,,2549818,820,,373868,,1160,0,,59774,,57308,345264,357312,,0,2895082,8713,,989804,,367204,1869438,4125,2895082,8713
2021-03-05,VA,9428,8049,71,1379,24514,24514,1222,100,,254,,0,,,,,150,583060,458696,1652,0,28595,124169,,,560226,,5996828,24556,5996828,24556,223275,1434691,,,,0,,0
2021-03-05,VI,25,25,0,,,,,0,,,46167,160,,,,,,2714,,10,0,,,,,,2559,,0,48881,170,,,,,48961,137,,0
2021-03-05,VT,207,,0,,,,26,0,,4,318720,634,,,,,,15819,15376,133,0,,,,,,13145,,0,1107296,12441,,,,,334096,765,1107296,12441
2021-03-05,WA,5032,,20,,19500,19500,413,34,,108,,0,,,5020273,,57,343090,323839,854,0,,,,,323771,,5344402,24021,5344402,24021,,,,,,0,,0
2021-03-05,WI,7094,6477,12,617,26387,26387,260,57,2268,77,2642182,3034,,,,,,620663,566158,721,0,,,,,,552311,7037081,28542,7037081,28542,,,,,3208340,3384,,0
2021-03-05,WV,2318,1971,9,347,,,200,0,,55,,0,,,,,28,132964,106259,287,0,,,,,,124502,,0,2218488,10812,32864,,,,,0,2218488,10812
2021-03-05,WY,682,,0,,1391,1391,21,2,,,182264,307,,,602513,,,54764,46397,79,0,,,,,38993,53550,,0,649293,3114,,,,,228661,376,649293,3114
2021-03-04,AK,303,,0,,1290,1290,32,5,,,,0,,,1653763,,2,56745,,140,0,,,,,68549,,,0,1724484,13466,,,,,,0,1724484,13466
2021-03-04,AL,10094,7920,65,2174,45807,45807,544,84,2666,,1920535,4990,,,,1513,,498076,390672,922,0,,,,,,295690,,0,2311207,5890,,,118631,,2311207,5890,,0
2021-03-04,AR,5273,4283,12,990,14876,14876,397,50,,165,2464286,8977,,,2464286,1525,91,323756,254943,403,0,,,,81463,,314207,,0,2719229,9283,,,,474331,,0,2719229,9283
2021-03-04,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
2021-03-04,AZ,16185,14264,96,1921,57747,57747,1072,50,,343,3032112,9402,,,,,165,821108,765504,1154,0,,,,,,,,0,7775843,36482,578537,,441041,,3797616,10375,7775843,36482
2021-03-04,CA,53048,,273,,,,4967,0,,1327,,0,,,,,,3488467,3488467,3504,0,,,,,,,,0,49147685,119637,,,,,,0,49147685,119637
2021-03-04,CO,5974,5238,4,736,23791,23791,355,56,,,2188741,5603,364091,,,,,433021,408954,1351,0,61329,,,,,,6310233,36564,6310233,36564,428261,,,,2597695,6832,,0
2021-03-04,CT,7693,6320,15,1373,,,433,0,,,,0,,,6147613,,,284500,264992,878,0,,22088,,,322440,,,0,6478498,42863,,393486,,,,0,6478498,42863
2021-03-04,DC,1024,,1,,,,170,0,,49,,0,,,,,18,41014,,196,0,,,,,,29287,1241816,7833,1241816,7833,,,,,438475,1619,,0
2021-03-04,DE,1444,1308,4,136,,,130,0,,18,541771,807,,,,,,87643,82971,218,0,,,,,91186,,1413640,3724,1413640,3724,,,,,629414,1025,,0
2021-03-04,FL,31955,,126,,81600,81600,3566,322,,,9269680,26450,847365,803582,16719252,,,1894722,1538139,5997,0,176911,,166506,,2482227,,22079838,104245,22079838,104245,1024780,,970437,,11164402,32447,19293295,74448
2021-03-04,GA,17750,15462,125,2288,56512,56512,2191,143,9221,,,0,,,,,,1017428,824804,2886,0,76680,166192,,,799666,,,0,7279616,28189,479300,1451169,,,,0,7279616,28189
2021-03-04,GU,131,,0,,,,5,0,,1,112349,424,,,,,1,7747,7538,2,0,24,248,,,,7590,,0,120096,426,357,9262,,,,0,119887,426
2021-03-04,HI,441,441,0,,2225,2225,28,-1,,5,,0,,,,,3,28466,27699,59,0,,,,,27595,,1131093,6227,1131093,6227,,,,,,0,,0
2021-03-04,IA,5536,,35,,,,184,0,,39,1040055,2052,,93776,2414548,,11,281391,281391,400,0,,60354,19240,56878,305285,318560,,0,1321446,2452,,1372820,113067,245588,1323845,2461,2734777,9441
2021-03-04,ID,1876,1649,5,227,7144,7144,139,13,1241,32,503691,1096,,,,,,172288,139667,452,0,,,,,,95222,,0,643358,1441,,123809,,,643358,1441,1096824,3953
2021-03-04,IL,22902,20668,49,2234,,,1200,0,,260,,0,,,,,128,1193260,,1740,0,,,,,,,,0,18389512,73990,,,,,,0,18389512,73990
2021-03-04,IN,12663,12231,30,432,43044,43044,692,89,7567,131,2468877,4795,,,,,63,664446,,935,0,,,,,757099,,,0,8133596,40539,,,,,3133323,5730,8133596,40539
2021-03-04,KS,4816,,0,,9355,9355,203,0,2541,59,969651,0,,,,411,23,295109,,0,0,,,,,,,,0,1264760,0,,594470,,,1264760,0,2504238,0
2021-03-04,KY,4732,4292,28,440,19364,19364,645,60,4020,172,,0,,,,,91,408440,312930,1067,0,9815,37408,,,251183,47992,,0,3954639,14273,111691,501372,,,,0,3954639,14273
2021-03-04,LA,9686,8986,18,700,,,554,0,,,5222458,24034,,,,,74,432527,371630,756,0,,,,,,415954,,0,5654985,24790,,463554,,,,0,5594088,24564
2021-03-04,MA,16296,15967,44,329,19713,19713,741,0,,168,4380031,8554,,,,,100,586310,554630,1567,0,,,15425,,662972,508745,,0,16522351,102362,,,156185,571445,4934661,9964,16522351,102362
2021-03-04,MD,7922,7740,3,182,35304,35304,856,81,,216,3018120,5941,,169779,,,,384765,384765,809,0,,,28360,,469489,9691,,0,7982350,33723,,,198139,,3402885,6750,7982350,33723
2021-03-04,ME,705,682,0,23,1549,1549,69,4,,23,,0,14201,,,,8,45227,35507,136,0,861,10511,,,41114,12827,,0,1633308,11093,15074,208014,,,,0,1633308,11093
2021-03-04,MI,16589,15600,39,989,,,890,0,,229,,0,,,9789502,,102,652589,593279,1827,0,,,,,749121,541258,,0,10538623,46486,532658,,,,,0,10538623,46486
2021-03-04,MN,6521,6248,14,273,25896,25896,229,33,5344,59,3035998,14444,,,,,,487374,463301,940,0,,,,,,473728,7023826,62827,7023826,62827,,441373,,,3499299,15254,,0
2021-03-04,MO,8150,,2,,,,999,0,,213,1868601,3588,126213,,3985463,,136,479536,479536,467,0,24488,82909,,,529491,,,0,4524474,16298,150900,878145,134839,359455,2348137,4055,4524474,16298
2021-03-04,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,144,144,0,0,,,,,,29,,0,17573,0,,,,,17542,0,26131,0
2021-03-04,MS,6764,4717,21,2047,9162,9162,448,0,,101,1459374,0,,,,,62,296154,183586,479,0,,,,,,278162,,0,1755528,479,81986,748339,,,,0,1642348,0
2021-03-04,MT,1375,,2,,4608,4608,73,8,,14,,0,,,,,7,100531,95413,180,0,,,,,,97499,,0,1091522,4974,,,,,,0,1091522,4974
2021-03-04,NC,11399,10083,36,1316,,,1290,0,,326,,0,,,,,,868056,756509,2502,0,,,,,,,,0,9605697,44050,,790416,,,,0,9605697,44050
2021-03-04,ND,1478,,0,,3875,3875,22,4,567,3,305598,94,,,,,,100184,94807,117,0,,,,,,98071,1419620,3575,1419620,3575,,152080,,,405782,211,1528837,4808
2021-03-04,NE,2092,,1,,6157,6157,151,10,,,768130,1349,,,2166160,,,201973,,365,0,,,,,234838,156048,,0,2403686,11285,,,,,970639,1714,2403686,11285
2021-03-04,NH,1178,,3,,1127,1127,92,4,348,,577245,1620,,,,,,76178,53581,188,0,,,,,,72809,,0,1474441,7052,39421,198915,37805,,630826,1781,1474441,7052
2021-03-04,NJ,23491,21094,42,2397,64137,64137,1900,87,,376,10096351,0,,,,,214,802669,712585,3193,0,,,,,,,,0,10899020,3193,,,,,,0,10806397,0
2021-03-04,NM,3769,,16,,13215,13215,177,25,,,,0,,,,,,186156,,258,0,,,,,,151708,,0,2738734,18352,,,,,,0,2738734,18352
2021-03-04,NV,5005,,18,,,,407,0,,97,1125254,2431,,,,,47,295069,295069,385,0,,,,,,,2746308,8243,2746308,8243,,,,,1420323,2816,,0
2021-03-04,NY,38796,,61,,,,5177,0,,1043,,0,,,,,712,1657777,,7593,0,,,,,,,38897265,270089,38897265,270089,,,,,,0,,0
2021-03-04,OH,17189,14752,0,2594,50695,50695,1009,82,7181,270,,0,,,,,196,974480,833772,1875,0,,85756,,,861702,919296,,0,10144547,43325,,1751798,,,,0,10144547,43325
2021-03-04,OK,4534,,0,,24103,24103,404,39,,118,3126761,10458,,,3126761,,,426641,,895,0,21760,,,,388328,409728,,0,3553402,11353,148204,,,,,0,3527683,11432
2021-03-04,OR,2252,,27,,8682,8682,165,29,,37,,0,,,3562140,,12,156287,,250,0,,,,,225298,,,0,3787438,27038,,,,,,0,3787438,27038
2021-03-04,PA,24219,,50,,,,1628,0,,350,3915271,8736,,,,,177,941439,808788,3028,0,,,,,,856709,10569767,55306,10569767,55306,,,,,4724059,10836,,0
2021-03-04,PR,2053,1745,5,308,,,171,0,,23,305972,0,,,395291,,19,100867,92939,102,0,82809,,,,20103,91530,,0,406839,102,,,,,,0,415664,0
2021-03-04,RI,2539,,5,,9002,9002,148,20,,23,673128,1586,,,2913009,,16,127727,,442,0,,,,,152103,,3065112,23431,3065112,23431,,,,,800855,2028,,0
2021-03-04,SC,8660,7660,40,1000,20542,20542,734,41,,180,4578250,20102,106051,,4448820,,91,521563,447085,1567,0,27765,109525,,,576515,230793,,0,5099813,21669,133816,885397,,,,0,5025335,21018
2021-03-04,SD,1896,,3,,6664,6664,87,10,,17,312421,909,,,,,10,113065,100284,232,0,,,,,105443,109113,,0,696656,1773,,,,,425486,1141,696656,1773
2021-03-04,TN,11501,9248,42,2253,18779,18779,970,37,,258,,0,,,6083248,,127,779449,652083,1514,0,,139528,,,751634,754465,,0,6834882,17761,,1408619,,,,0,6834882,17761
2021-03-04,TX,43878,,315,,,,5263,0,,1599,,0,,,,,,2671442,2309124,8028,0,155146,208427,,,2618057,2458818,,0,19764177,56522,1022798,2606279,,,,0,19764177,56522
2021-03-04,UT,1955,,0,,14783,14783,247,0,2331,92,1549760,4202,,,2541524,818,,372708,,0,0,,59586,,57124,344845,355033,,0,2886369,10193,,981583,,364728,1865313,4636,2886369,10193
2021-03-04,VA,9357,8018,31,1339,24414,24414,1352,60,,284,,0,,,,,184,581408,457348,1300,0,28396,123686,,,558837,,5972272,25300,5972272,25300,222742,1421319,,,,0,,0
2021-03-04,VI,25,25,0,,,,,0,,,46007,166,,,,,,2704,,9,0,,,,,,2547,,0,48711,175,,,,,48824,181,,0
2021-03-04,VT,207,,0,,,,27,0,,5,318086,722,,,,,,15686,15245,199,0,,,,,,12990,,0,1094855,11657,,,,,333331,920,1094855,11657
2021-03-04,WA,5012,,24,,19466,19466,461,33,,121,,0,,,4996968,,61,342236,323123,795,0,,,,,323057,,5320381,18873,5320381,18873,,,,,,0,,0
2021-03-04,WI,7082,6470,13,612,26330,26330,262,51,2266,67,2639148,4149,,,,,,619942,565808,855,0,,,,,,551885,7008539,37986,7008539,37986,,,,,3204956,4826,,0
2021-03-04,WV,2309,1962,0,347,,,193,0,,57,,0,,,,,22,132677,106040,261,0,,,,,,124050,,0,2207676,9422,32758,,,,,0,2207676,9422
2021-03-04,WY,682,,0,,1389,1389,23,1,,,181957,276,,,599452,,,54685,46328,69,0,,,,,38946,53481,,0,646179,2703,,,,,228285,336,646179,2703
2021-03-03,AK,303,,1,,1285,1285,26,-1,,,,0,,,1640525,,2,56605,,177,0,,,,,68343,,,0,1711018,6358,,,,,,0,1711018,6358
2021-03-03,AL,10029,7872,38,2157,45723,45723,559,24,2662,,1915545,7243,,,,1510,,497154,389772,2733,0,,,,,,295690,,0,2305317,9595,,,118154,,2305317,9595,,0
2021-03-03,AR,5261,4272,7,989,14826,14826,397,31,,165,2455309,7267,,,2455309,1521,91,323353,254637,404,0,,,,81353,,313799,,0,2709946,7551,,,,469256,,0,2709946,7551
2021-03-03,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
2021-03-03,AZ,16089,14176,29,1913,57697,57697,1165,106,,381,3022710,15039,,,,,177,819954,764531,1284,0,,,,,,,,0,7739361,37881,577188,,440209,,3787241,16154,7739361,37881
2021-03-03,CA,52775,,278,,,,5110,0,,1403,,0,,,,,,3484963,3484963,3352,0,,,,,,,,0,49028048,130858,,,,,,0,49028048,130858
2021-03-03,CO,5970,5235,11,735,23735,23735,389,142,,,2183138,4583,361719,,,,,431670,407725,1055,0,60537,,,,,,6273669,29808,6273669,29808,425420,,,,2590863,5473,,0
2021-03-03,CT,7678,6306,20,1372,,,451,0,,,,0,,,6105720,,,283622,264198,494,0,,21962,,,321537,,,0,6435635,17168,,389220,,,,0,6435635,17168
2021-03-03,DC,1023,,4,,,,177,0,,47,,0,,,,,23,40818,,51,0,,,,,,29213,1233983,139,1233983,139,,,,,436856,80,,0
2021-03-03,DE,1440,1304,14,136,,,135,0,,17,540964,1073,,,,,,87425,82777,232,0,,,,,91050,,1409916,4613,1409916,4613,,,,,628389,1305,,0
2021-03-03,FL,31829,,133,,81278,81278,3596,306,,,9243230,17249,847365,803582,16653274,,,1888725,1534186,5860,0,176911,,166506,,2474106,,21975593,73990,21975593,73990,1024780,,970437,,11131955,23109,19218847,51529
2021-03-03,GA,17625,15349,145,2276,56369,56369,2299,118,9186,,,0,,,,,,1014542,823008,2735,0,76149,165060,,,798161,,,0,7251427,16983,478229,1437822,,,,0,7251427,16983
2021-03-03,GU,131,,0,,,,4,0,,1,111925,378,,,,,1,7745,7536,3,0,24,248,,,,7583,,0,119670,381,356,9234,,,,0,119461,381
2021-03-03,HI,441,441,2,,2226,2226,26,0,,7,,0,,,,,3,28407,27640,17,0,,,,,27528,,1124866,4206,1124866,4206,,,,,,0,,0
2021-03-03,IA,5501,,3,,,,191,0,,40,1038003,1896,,93681,2405624,,11,280991,280991,482,0,,60142,18996,56695,304861,317731,,0,1318994,2378,,1365388,112728,244598,1321384,2382,2725336,8811
2021-03-03,ID,1871,1645,4,226,7131,7131,121,20,1239,32,502595,1239,,,,,,171836,139322,374,0,,,,,,94936,,0,641917,1505,,123809,,,641917,1505,1092871,3903
2021-03-03,IL,22853,20626,50,2227,,,1260,0,,275,,0,,,,,138,1191520,,2104,0,,,,,,,,0,18315522,80854,,,,,,0,18315522,80854
2021-03-03,IN,12633,12200,10,433,42955,42955,731,93,7555,131,2464082,3803,,,,,65,663511,,761,0,,,,,756009,,,0,8093057,36945,,,,,3127593,4564,8093057,36945
2021-03-03,KS,4816,,73,,9355,9355,203,65,2541,59,969651,4848,,,,411,23,295109,,807,0,,,,,,,,0,1264760,5655,,594470,,,1264760,5655,2504238,19057
2021-03-03,KY,4704,4267,33,437,19304,19304,680,70,4008,175,,0,,,,,79,407373,312179,1172,0,9793,37274,,,250725,47927,,0,3940366,18213,111611,497009,,,,0,3940366,18213
2021-03-03,LA,9668,8973,21,695,,,588,0,,,5198424,20999,,,,,78,431771,371100,500,0,,,,,,415954,,0,5630195,21499,,459742,,,,0,5569524,21302
2021-03-03,MA,16252,15925,70,327,19713,19713,755,269,,173,4371477,8511,,,,,109,584743,553220,1899,0,,,15162,,661370,494740,,0,16419989,102052,,,154697,568678,4924697,10064,16419989,102052
2021-03-03,MD,7919,7737,14,182,35223,35223,863,71,,228,3012179,5489,,169779,,,,383956,383956,786,0,,,28360,,468532,9685,,0,7948627,31296,,,198139,,3396135,6275,7948627,31296
2021-03-03,ME,705,682,2,23,1545,1545,67,9,,24,,0,14186,,,,8,45091,35411,147,0,855,10420,,,40984,12820,,0,1622215,13065,15053,205648,,,,0,1622215,13065
2021-03-03,MI,16550,15563,6,987,,,882,0,,234,,0,,,9744673,,100,650762,591753,1705,0,,,,,747464,541258,,0,10492137,36453,530799,,,,,0,10492137,36453
2021-03-03,MN,6507,6235,17,272,25863,25863,243,37,5340,57,3021554,4521,,,,,,486434,462491,779,0,,,,,,473252,6960999,17007,6960999,17007,,435424,,,3484045,5154,,0
2021-03-03,MO,8148,,216,,,,989,0,,213,1865013,2872,125869,,3969719,,146,479069,479069,387,0,24339,82577,,,528968,,,0,4508176,10271,150407,867554,134485,356212,2344082,3259,4508176,10271
2021-03-03,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,144,144,1,0,,,,,,29,,0,17573,1,,,,,17542,0,26131,0
2021-03-03,MS,6743,4705,19,2038,9162,9162,469,0,,120,1459374,0,,,,,64,295675,183292,380,0,,,,,,278162,,0,1755049,380,81986,748339,,,,0,1642348,0
2021-03-03,MT,1373,,1,,4600,4600,67,9,,13,,0,,,,,7,100351,95256,193,0,,,,,,97327,,0,1086548,4986,,,,,,0,1086548,4986
2021-03-03,NC,11363,10050,75,1313,,,1303,0,,332,,0,,,,,,865554,754610,2145,0,,,,,,,,0,9561647,19976,,779652,,,,0,9561647,19976
2021-03-03,ND,1478,,1,,3871,3871,20,-3,567,3,305504,74,,,,,,100067,94735,110,0,,,,,,98014,1416045,2904,1416045,2904,,149645,,,405571,184,1524029,4369
2021-03-03,NE,2091,,7,,6147,6147,150,7,,,766781,1105,,,2155329,,,201608,,262,0,,,,,234408,155933,,0,2392401,10150,,,,,968925,1374,2392401,10150
2021-03-03,NH,1175,,5,,1123,1123,89,4,347,,575625,-447,,,,,,75990,53420,187,0,,,,,,72600,,0,1467389,1914,39358,198053,37750,,629045,-320,1467389,1914
2021-03-03,NJ,23449,21052,128,2397,64050,64050,1921,133,,403,10096351,112825,,,,,243,799476,710046,3691,0,,,,,,,,0,10895827,116516,,,,,,0,10806397,115772
2021-03-03,NM,3753,,13,,13190,13190,195,42,,,,0,,,,,,185898,,356,0,,,,,,150168,,0,2720382,10231,,,,,,0,2720382,10231
2021-03-03,NV,4987,,20,,,,440,0,,100,1122823,2581,,,,,53,294684,294684,395,0,,,,,,,2738065,8438,2738065,8438,,,,,1417507,2976,,0
2021-03-03,NY,38735,,75,,,,5323,0,,1047,,0,,,,,735,1650184,,7704,0,,,,,,,38627176,218069,38627176,218069,,,,,,0,,0
2021-03-03,OH,17189,14752,0,2594,50613,50613,1081,110,7174,279,,0,,,,,195,972605,832502,2022,0,,85336,,,860507,916592,,0,10101222,16741,,1734699,,,,0,10101222,16741
2021-03-03,OK,4534,,0,,24064,24064,427,65,,135,3116303,16023,,,3116303,,,425746,,747,0,21760,,,,387913,408963,,0,3542049,16770,148204,,,,,0,3516251,16570
2021-03-03,OR,2225,,13,,8653,8653,184,32,,33,,0,,,3535703,,11,156037,,250,0,,,,,224697,,,0,3760400,11956,,,,,,0,3760400,11956
2021-03-03,PA,24169,,69,,,,1648,0,,357,3906535,8368,,,,,186,938411,806688,2577,0,,,,,,844569,10514461,38138,10514461,38138,,,,,4713223,10204,,0
2021-03-03,PR,2048,1741,8,307,,,169,0,,33,305972,0,,,395291,,25,100765,92856,30,0,82667,,,,20103,91338,,0,406737,30,,,,,,0,415664,0
2021-03-03,RI,2534,,9,,8982,8982,147,16,,23,671542,1258,,,2890061,,14,127285,,436,0,,,,,151620,,3041681,19375,3041681,19375,,,,,798827,1694,,0
2021-03-03,SC,8620,7626,44,994,20501,20501,706,73,,190,4558148,8550,105881,,4428962,,86,519996,446169,1173,0,27609,108884,,,575355,230793,,0,5078144,9723,133490,877322,,,,0,5004317,9196
2021-03-03,SD,1893,,5,,6654,6654,97,14,,16,311512,701,,,,,8,112833,100146,181,0,,,,,105291,108947,,0,694883,2025,,,,,424345,882,694883,2025
2021-03-03,TN,11459,9215,23,2244,18742,18742,1033,63,,259,,0,,,6066316,,140,777935,651124,1598,0,,138810,,,750805,752966,,0,6817121,19646,,1397191,,,,0,6817121,19646
2021-03-03,TX,43563,,297,,,,5508,0,,1713,,0,,,,,,2663414,2304081,7822,0,154259,206875,,,2613982,2450229,,0,19707655,64597,1020452,2564354,,,,0,19707655,64597
2021-03-03,UT,1955,,6,,14783,14783,247,30,2331,92,1545558,4413,,,2531859,818,,372708,,729,0,,59406,,56948,344317,355033,,0,2876176,10703,,973413,,362078,1860677,4845,2876176,10703
2021-03-03,VA,9326,7993,383,1333,24354,24354,1352,96,,284,,0,,,,,184,580108,456462,1549,0,28222,123249,,,557574,,5946972,18293,5946972,18293,222307,1410716,,,,0,,0
2021-03-03,VI,25,25,0,,,,,0,,,45841,616,,,,,,2695,,49,0,,,,,,2539,,0,48536,665,,,,,48643,662,,0
2021-03-03,VT,207,,1,,,,24,0,,5,317364,359,,,,,,15487,15047,115,0,,,,,,12842,,0,1083198,4358,,,,,332411,474,1083198,4358
2021-03-03,WA,4988,,19,,19433,19433,467,61,,131,,0,,,4978720,,64,341441,322487,733,0,,,,,322430,,5301508,21178,5301508,21178,,,,,,0,,0
2021-03-03,WI,7069,6458,19,611,26279,26279,267,57,2264,69,2634999,3287,,,,,,619087,565131,780,0,,,,,,551329,6970553,31959,6970553,31959,,,,,3200130,3826,,0
2021-03-03,WV,2309,1962,8,347,,,197,0,,60,,0,,,,,25,132416,105833,232,0,,,,,,123656,,0,2198254,8253,32689,,,,,0,2198254,8253
2021-03-03,WY,682,,0,,1388,1388,24,3,,,181681,278,,,596799,,,54616,46268,89,0,,,,,38905,53375,,0,643476,2096,,,,,227949,356,643476,2096
2021-03-02,AK,302,,2,,1286,1286,26,7,,,,0,,,1634388,,6,56428,,89,0,,,,,68132,,,0,1704660,6629,,,,,,0,1704660,6629
2021-03-02,AL,9991,7840,60,2151,45699,45699,631,51,2659,,1908302,3161,,,,1509,,494421,387420,652,0,,,,,,285130,,0,2295722,3648,,,117904,,2295722,3648,,0
2021-03-02,AR,5254,4265,4,989,14795,14795,416,32,,160,2448042,3673,,,2448042,1519,80,322949,254353,440,0,,,,81207,,313426,,0,2702395,3898,,,,467054,,0,2702395,3898
2021-03-02,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
2021-03-02,AZ,16060,14158,81,1902,57591,57591,1202,2,,385,3007671,5459,,,,,203,818670,763416,849,0,,,,,,,,0,7701480,18991,576217,,439893,,3771087,6223,7701480,18991
2021-03-02,CA,52497,,303,,,,5302,0,,1452,,0,,,,,,3481611,3481611,2533,0,,,,,,,,0,48897190,184514,,,,,,0,48897190,184514
2021-03-02,CO,5959,5223,7,736,23593,23593,395,43,,,2178555,3053,359976,,,,,430615,406835,776,0,60044,,,,,,6243861,14006,6243861,14006,422256,,,,2585390,3669,,0
2021-03-02,CT,7658,6287,7,1371,,,413,0,,,,0,,,6089025,,,283128,263876,502,0,,21744,,,321160,,,0,6418467,15041,,384222,,,,0,6418467,15041
2021-03-02,DC,1019,,0,,,,177,0,,47,,0,,,,,29,40767,,83,0,,,,,,29111,1233844,2251,1233844,2251,,,,,436776,533,,0
2021-03-02,DE,1426,1290,4,136,,,151,0,,18,539891,340,,,,,,87193,82571,113,0,,,,,90814,,1405303,4849,1405303,4849,,,,,627084,453,,0
2021-03-02,FL,31696,,140,,80972,80972,3674,313,,,9225981,33192,847365,803582,16607639,,,1882865,1529740,7047,0,176911,,166506,,2468530,,21901603,116917,21901603,116917,1024780,,970437,,11108846,40239,19167318,89285
2021-03-02,GA,17480,15209,104,2271,56251,56251,2348,162,9158,,,0,,,,,,1011807,821482,3147,0,75800,163820,,,797157,,,0,7234444,19275,477580,1422062,,,,0,7234444,19275
2021-03-02,GU,131,,0,,,,4,0,,2,111547,1680,,,,,1,7742,7533,5,0,24,248,,,,7580,,0,119289,1685,356,9204,,,,0,119080,1688
2021-03-02,HI,439,439,0,,2226,2226,31,12,,6,,0,,,,,3,28390,27623,35,0,,,,,27514,,1120660,3503,1120660,3503,,,,,,0,,0
2021-03-02,IA,5498,,26,,,,209,0,,39,1036107,988,,93450,2397458,,11,280509,280509,230,0,,60009,18760,56553,304305,316185,,0,1316616,1218,,1356153,112261,243583,1319002,1225,2716525,5341
2021-03-02,ID,1867,1641,7,226,7111,7111,121,35,1234,32,501356,1260,,,,,,171462,139056,322,0,,,,,,94707,,0,640412,1493,,123809,,,640412,1493,1088968,5584
2021-03-02,IL,22803,20583,44,2220,,,1231,0,,281,,0,,,,,148,1189416,,1577,0,,,,,,,,0,18234668,56181,,,,,,0,18234668,56181
2021-03-02,IN,12623,12192,28,431,42862,42862,765,47,7535,123,2460279,2297,,,,,64,662750,,537,0,,,,,755102,,,0,8056112,20386,,,,,3123029,2834,8056112,20386
2021-03-02,KS,4743,,0,,9290,9290,165,0,2521,43,964803,0,,,,411,16,294302,,0,0,,,,,,,,0,1259105,0,,586346,,,1259105,0,2485181,0
2021-03-02,KY,4671,4241,19,430,19234,19234,684,91,3993,178,,0,,,,,82,406201,311489,1075,0,9705,36973,,,250331,47787,,0,3922153,3011,111402,487694,,,,0,3922153,3011
2021-03-02,LA,9647,8957,19,690,,,629,0,,,5177425,22425,,,,,89,431271,370797,767,0,,,,,,408463,,0,5608696,23192,,456777,,,,0,5548222,22975
2021-03-02,MA,16182,15859,38,323,19444,19444,775,0,,187,4362966,7609,,,,,116,582844,551667,301,0,,,15162,,659584,494740,,0,16317937,56007,,,154697,564788,4914633,7726,16317937,56007
