iata,name,city,state,country,latitude,longitude,death
ASL,Marshall - Harrison County,Marshall,TX,USA,0.0,0.0,91.0
ASN,Talladega Municipal,Talladega,AL,USA,0.0,0.0,0.0
AST,Astoria Regional,Astoria,OR,USA,46.15797222,-123.8786944,478.0
ASW,Warsaw Municipal,Warsaw,IN,USA,0.0,0.0,286.0
ASX,John F Kennedy Memorial,Ashland,WI,USA,0.0,0.0,135.0
ATA,Hall-Miller Municipal,Atlanta,TX,USA,0.0,0.0,0.0
ATK,Atqasuk,Atqasuk,AK,USA,70.46727611,-157.4357361,317.0
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,0.0,0.0,0.0
ATS,Artesia Municipal,Artesia,NM,USA,0.0,0.0,324.0
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,384.0
ATY,Watertown Municipal,Watertown,SD,USA,44.91398056,-97.15471944,380.0
AUG,Augusta State,Augusta,ME,USA,44.32064972,-69.79731806,340.0
AUH,Aurora Municipal,Aurora,NE,USA,0.0,0.0,420.0
AUK,Alakanuk,Alakanuk,AK,USA,62.68004417,-164.6599253,443.0
AUM,Austin Municipal,Austin,MN,USA,0.0,0.0,0.0
AUN,Auburn Municipal,Auburn,CA,USA,38.95476944,-121.0820806,34.0
AUO,Auburn-Opelik,Auburn,AL,USA,0.0,0.0,0.0
AUS,Austin-Bergstrom International,Austin,TX,USA,0.0,0.0,58.0
AUW,Wausau Municipal,Wausau,WI,USA,0.0,0.0,0.0
AVC,Mecklenburg-Brunswick Regional,South Hill,VA,USA,0.0,0.0,51.0
AVK,Alva Regional,Alva,OK,USA,0.0,0.0,158.0
AVL,Asheville Regional,Asheville,NC,USA,0.0,0.0,333.0
AVO,Avon Park Municipal,Avon Park,FL,USA,0.0,0.0,0.0
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,0.0,0.0,497.0
AVQ,Marana Northwest Regional,Marana,AZ,USA,32.40939028,-111.2185086,132.0
AVX,Catalina,Avalon,CA,USA,33.40494444,-118.4158611,247.0
AWG,Washington Municipal,Washington,IA,USA,0.0,0.0,0.0
AWI,Wainwright,Wainwright,AK,USA,70.638,-159.99475,154.0
AWM,West Memphis Municipal,West Memphis,AR,USA,0.0,0.0,0.0
AWO,Arlington Municipal,Arlington,WA,USA,48.16074833,-122.1590208,408.0
AXA,Algona Municipal,Algona,IA,USA,43.07791056,-94.27199278,0.0
AXN,Chandler,Alexandria,MN,USA,0.0,0.0,0.0
AXS,Altus Municipal,Altus,OK,USA,0.0,0.0,0.0
AXV,Neil Armstrong,Wapakoneta,OH,USA,0.0,0.0,161.0
AXX,Angel Fire,Angel Fire,NM,USA,0.0,0.0,0.0
AYS,Waycross-Ware County,Waycross,GA,USA,31.24905556,-82.39530556,295.0
AZC,Colorado City Municipal,Colorado City,AZ,USA,0.0,0.0,0.0
AZE,Hazelhurst,Hazelhurst,GA,USA,0.0,0.0,0.0
AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575,339.0
B01,Granville,Granville,NY,USA,43.42507111,-73.26205306,284.0
B08,Silver Springs,Silver Springs,NV,USA,39.40324917,-119.2518292,1.0
B16,Whitford,Weedsport,NY,USA,43.08027611,-76.53837556,414.0
B19,Biddeford Municipal,Biddeford,ME,USA,43.46411111,-70.47238889,297.0
B21,Sugarloaf Regional,Carrabasset,ME,USA,45.08616639,-70.21617778,99.0
BAF,Barnes Municipal,Westfield,MA,USA,42.15773111,-72.71562028,320.0
BAK,Columbus Municipal,Columbus,IN,USA,39.26191861,-85.89634556,325.0
BAM,Battle Mountain,Battle Mountain,NV,USA,40.59904583,-116.8743358,163.0
BAX,Huron County Memorial,Bad Axe,MI,USA,0.0,0.0,0.0
BAZ,New Braunfels Municipal,New Braunfels,TX,USA,0.0,0.0,0.0
BBB,Benson Municipal,Benson,MN,USA,0.0,0.0,0.0
BBD,Curtis,Brady,TX,USA,0.0,0.0,0.0
BBP,Marlboro County,Bennettsville,SC,USA,0.0,0.0,0.0
BBW,Broken Bow Municipal,Broken Bow,NE,USA,0.0,0.0,102.0
BCB,Virginia Tech,Blacksburg,VA,USA,0.0,0.0,0.0
BCE,Bryce Canyon,Bryce Canyon,UT,USA,0.0,0.0,157.0
BCK,Black River Falls Area,Black River Falls,WI,USA,0.0,0.0,0.0
BCT,Boca Raton,Boca Raton,FL,USA,0.0,0.0,426.0
BCV,Birchwood,Birchwood,AK,USA,61.41612444,-149.50888,419.0
BDE,Baudette International,Baudette,MN,USA,0.0,0.0,0.0
BDG,Blanding Muni,Blanding,UT,USA,37.58303472,-109.4832889,471.0
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,175.0
BDQ,Morrilton Municipal,Morrilton,AR,USA,0.0,0.0,451.0
BDR,Igor I Sikorsky Memorial,Bridgeport,CT,USA,41.16348417,-73.12617861,339.0
BDX,Broadus,Broadus,MT,USA,0.0,0.0,0.0
BED,Laurence G Hanscom,Bedford,MA,USA,42.46995306,-71.28903,382.0
BEH,Southwest Michigan Regional,Benton Harbor,MI,USA,0.0,0.0,269.0
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975,345.0
BFD,Bradford Reg,Bradford,PA,USA,41.80306778,-78.64012083,0.0
BFF,Scotts Bluff County,Scottsbluff,NE,USA,0.0,0.0,0.0
BFI,Boeing Field/King County Intl,Seattle,WA,USA,47.52998917,-122.3019561,257.0
BFK,Buffalo Municipal,Buffalo,OK,USA,0.0,0.0,66.0
BFL,Meadows,Bakersfield,CA,USA,35.43359806,-119.0567681,79.0
BFM,Mobile Downtown,Mobile,AL,USA,0.0,0.0,211.0
BFR,Virgil I Grissom Municipal,Bedford,IN,USA,0.0,0.0,0.0
BFW,Silver Bay Municipal,Silver Bay,MN,USA,0.0,0.0,196.0
BGD,Hutchinson County,Borger,TX,USA,0.0,0.0,323.0
BGE,Decatur County Industrial Airpark,Bainbridge,GA,USA,30.97152778,-84.63744444,0.0
BGF,Winchester Municipal,Winchester,TN,USA,0.0,0.0,0.0
BGM,Binghamton Regional,Binghamton,NY,USA,0.0,0.0,0.0
BGQ,Big Lake Strip Nr 2,Big Lake,AK,USA,61.53556806,-149.8138975,202.0
BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889,252.0
BHB,Hancock Co-Bar Harbor,Bar Harbor,ME,USA,44.44969444,-68.3615,307.0
BHC,Baxley Municipal,Baxley,GA,USA,0.0,0.0,475.0
BHK,Baker Muni,Baker City,MT,USA,0.0,0.0,0.0
BHM,Birmingham International,Birmingham,AL,USA,0.0,0.0,171.0
BID,Block Island State,Block Island,RI,USA,41.16811889,-71.57784167,144.0
BIE,Beatrice Municipal,Beatrice,NE,USA,0.0,0.0,0.0
BIG,Allen AAF,Delta Junction,AK,USA,63.99454722,-145.7216417,58.0
BIH,Bishop,Bishop,CA,USA,37.37309556,-118.3636089,439.0
BIL,Billings Logan Intl,Billings,MT,USA,0.0,0.0,56.0
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,0.0
BIV,Tulip City,Holland,MI,USA,42.74316667,-86.10502778,0.0
BJC,Jeffco,Denver,CO,USA,0.0,0.0,0.0
BJI,Bemidji-Beltrami County,Bemidji,MN,USA,0.0,0.0,0.0
BJJ,Wayne County,Wooster,OH,USA,0.0,0.0,0.0
BKD,Breckenridge Stephens County,Breckenridge,TX,USA,32.71904694,-98.89099972,0.0
BKE,Baker City Municipal,Baker City,OR,USA,44.83733333,-117.8090833,86.0
BKL,Burke Lakefront,Cleveland,OH,USA,41.5175,-81.68333333,427.0
BKV,Hernando County,Brooksville,FL,USA,0.0,0.0,213.0
BKW,Raleigh Cty Memorial,Beckley,WV,USA,0.0,0.0,490.0
BKX,Brookings Municipal,Brookings,SD,USA,44.30483333,-96.81694444,446.0
BLF,Mercer Cty,Bluefield,WV,USA,37.29579944,-81.20769056,0.0
BLH,Blythe,Blythe,CA,USA,0.0,0.0,122.0
BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,376.0
BLM,Allaire Arpt,Belmar/Farmingdale,NJ,USA,40.18691806,-74.12488694,375.0
BLV,Scott AFB/MidAmerica,Belleville/St. Louis,IL,USA,0.0,0.0,0.0
BMC,Brigham City,Brigham City,UT,USA,0.0,0.0,0.0
BMG,Monroe County,Bloomington,IN,USA,0.0,0.0,0.0
BMI,Central Illinois Regional,Bloomington,IL,USA,0.0,0.0,393.0
BML,Berlin Municipal,Berlin,NH,USA,44.57537278,-71.17593167,345.0
BMQ,Burnet Muni-Kate Craddock,Burnet,TX,USA,30.73894444,-98.23858333,264.0
BMT,Beaumont Municipal,Beaumont,TX,USA,0.0,0.0,0.0
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,108.0
BNF,Baranof Warm Springs SPB,Baranof Warm Springs,AK,USA,57.08882583,-134.8331414,159.0
BNG,Banning Municipal,Banning,CA,USA,33.92307111,-116.8505756,103.0
BNL,Barnwell County,Barnwell,SC,USA,33.25777778,-81.38833333,468.0
BNO,Burns Muni,Burns,OR,USA,43.59212778,-118.9549789,14.0
BNW,Boone Municipal,Boone,IA,USA,0.0,0.0,0.0
BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778,148.0
BOK,Brookings,Brookings,OR,USA,42.07455556,-124.2900939,35.0
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,146.0
BOW,Bartow Municipal,Bartow,FL,USA,0.0,0.0,0.0
BPI,Big Piney-Marbleton,Big Piney,WY,USA,42.58506972,-110.1111531,224.0
BPK,Baxter County Regional,Mountain Home,AR,USA,36.36894194,-92.47052806,0.0
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,USA,29.95083333,-94.02069444,0.0
BQK,Glynco Jetport,Brunswick,GA,USA,0.0,0.0,225.0
BQN,Rafael Hernandez,Aguadilla,PR,USA,18.49486111,-67.12944444,171.0
BRD,Brainerd-Crow Wing County Regional,Brainerd,MN,USA,46.39785806,-94.1372275,0.0
BRL,Burlington Municipal,Burlington,IA,USA,0.0,0.0,377.0
BRO,Brownsville/S.Padre Island International,Brownsville,TX,USA,0.0,0.0,0.0
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.7660019,24.0
BRY,Samuels,Bardstown,KY,USA,0.0,0.0,119.0
BST,Belfast Municipal,Belfast,ME,USA,44.40966667,-69.01225,452.0
BTI,Barter Island,Kaktovik,AK,USA,70.13390278,-143.5770444,208.0
BTL,W K Kellogg Regional,Battle Creek,MI,USA,0.0,0.0,0.0
BTM,Bert Mooney,Butte,MT,USA,0.0,0.0,0.0
BTN,Britton Municipal,Britton,SD,USA,0.0,0.0,0.0
BTP,Butler Cty,Butler,PA,USA,0.0,0.0,0.0
BTR,"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,30.53316083,-91.14963444,0.0
BTT,Bettles,Bettles,AK,USA,66.91528667,-151.5280556,333.0
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,273.0
BTY,Beatty,Beatty,NV,USA,36.86105722,-116.7870036,80.0
BUB,Cram,Burwell,NE,USA,41.77669444,-99.14975,0.0
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,0.0,0.0,356.0
BUM,Butler Memorial,Butler,MO,USA,0.0,0.0,182.0
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,124.0
BUY,Burlington Municipal,Burlington,NC,USA,0.0,0.0,206.0
BVI,Beaver County,Beaver Falls,PA,USA,0.0,0.0,0.0
BVK,Buckland,Buckland,AK,USA,65.98228611,-161.1519778,199.0
BVN,Albion Municipal,Albion,NE,USA,0.0,0.0,390.0
BVO,Bartlesville Municipal,Bartlesville,OK,USA,0.0,0.0,264.0
BVS,Skagit Regional/Bay View,Burlington/Mount Vernon,WA,USA,48.47088889,-122.4208611,289.0
BVX,Batesville Regional,Batesville,AR,USA,0.0,0.0,0.0
BVY,Beverly Municipal,Beverly,MA,USA,42.58417111,-70.91651833,397.0
BWC,Brawley Municipal,Brawley,CA,USA,32.9931,-115.5169325,369.0
BWD,Brownwood Municipal,Brownwood,TX,USA,31.79362222,-98.95649528,27.0
BWG,Bowling Green-Warren County,Bowling Green,KY,USA,0.0,0.0,397.0
BWI,Baltimore-Washington International,Baltimore,MD,USA,0.0,0.0,0.0
BWP,Harry Stern,Wahpeton,ND,USA,46.24640083,-96.6056825,0.0
BXA,George R Carr Memorial,Bogalusa,LA,USA,0.0,0.0,27.0
BXG,Burke County,Waynesboro,GA,USA,0.0,0.0,284.0
BXK,Buckeye Municipal,Buckeye,AZ,USA,0.0,0.0,0.0
BYA,Boundary,Boundary,AK,USA,64.07830278,-141.113375,65.0
BYG,Johnson County,Buffalo,WY,USA,0.0,0.0,131.0
BYI,Burley Municipal,Burley,ID,USA,0.0,0.0,390.0
BZN,Gallatin,Bozeman,MT,USA,45.77690139,-111.1530072,415.0
C00,Mercer County,Aledo,IL,USA,0.0,0.0,0.0
C05,Chenega Bay,Chenega,AK,USA,60.07730556,-147.9918889,135.0
C09,Morris Municipal,Morris,IL,USA,0.0,0.0,365.0
C15,Pekin Municipal,Pekin,IL,USA,0.0,0.0,0.0
C17,Marion,Marion,IA,USA,0.0,0.0,195.0
C18,Frankfort,Chicago/Frankfort,IL,USA,0.0,0.0,311.0
C25,Waverly Municipal,Waverly,IA,USA,0.0,0.0,282.0
C29,Morey,Middleton,WI,USA,0.0,0.0,38.0
C34,Gibson City Municipal,Gibson City,IL,USA,0.0,0.0,278.0
C35,Reedsburg Municipal,Reedsburg,WI,USA,0.0,0.0,379.0
C47,Portage Municipal,Portage,WI,USA,0.0,0.0,0.0
C52,Burlington Municipal,Burlington,WI,USA,0.0,0.0,0.0
C56,Sanger,Chicago/Monee,IL,USA,41.37756167,-87.68137528,0.0
C62,Kendallville Municipal,Kendallville,IN,USA,0.0,0.0,377.0
C65,Plymouth Municipal,Plymouth,IN,USA,0.0,0.0,0.0
C66,Monmouth Municipal,Monmouth,IL,USA,40.92970444,-90.63110722,0.0
C71,Crosby Municipal,Crosby,MS,USA,31.29600472,-91.05288167,54.0
C73,Dixon Muni-Charles R Walgreen,Dixon,IL,USA,0.0,0.0,0.0
C75,Marshall County,Lacon,IL,USA,41.01928583,-89.38642222,0.0
C77,Poplar Grove,Poplar Grove,IL,USA,0.0,0.0,0.0
C80,New Coalinga Municipal,Coalinga,CA,USA,36.16313889,-120.2938139,409.0
C81,Campbell,Chicago/Round Lake Park,IL,USA,42.32461111,-88.07408806,337.0
C83,Byron,Byron,CA,USA,37.8284525,-121.6258219,164.0
C91,Dowagiac Municipal,Dowagiac,MI,USA,41.99293417,-86.1280125,55.0
CAD,Wexford County,Cadillac,MI,USA,0.0,0.0,0.0
CAE,Columbia Metropolitan,Columbia,SC,USA,0.0,0.0,179.0
CAG,Craig-Moffat,Craig,CO,USA,0.0,0.0,0.0
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,132.0
CAO,Clayton Municipal Airpark,Clayton,NM,USA,0.0,0.0,164.0
CAR,Caribou Municipal,Caribou,ME,USA,46.8715,-68.01791667,328.0
CAV,Clarion Municipal,Clarion,IA,USA,42.74194389,-93.75890944,35.0
CBE,Cumberland Regional,Cumberland,MD,USA,0.0,0.0,284.0
CBF,Council Bluffs Municipal,Council Bluffs,IA,USA,41.25947222,-95.75997222,0.0
CBG,Cambridge Municipal,Cambridge,MN,USA,0.0,0.0,0.0
CBK,Shaltz,Colby,KS,USA,39.42753083,-101.0465719,268.0
CCB,Cable,Upland,CA,USA,34.11154056,-117.6875897,167.0
CCO,Newnan-Coweta County,Newnan,GA,USA,0.0,0.0,262.0
CCR,Buchanan,Concord,CA,USA,37.98965639,-122.0568972,127.0
CCY,Charles City Municipal,Charles City,IA,USA,0.0,0.0,351.0
CDB,Cold Bay,Cold Bay,AK,USA,55.20559972,-162.7242628,299.0
CDC,Cedar City Muni,Cedar City,UT,USA,0.0,0.0,218.0
CDH,Harrell,Camden,AR,USA,33.62279917,-92.76339528,0.0
CDI,Cambridge Municipal,Cambridge,OH,USA,0.0,0.0,0.0
CDK,George T Lewis,Cedar Key,FL,USA,29.137745,-83.04984361,321.0
CDN,Woodward,Camden,SC,USA,0.0,0.0,254.0
CDR,Chadron Municipal,Chadron,NE,USA,0.0,0.0,381.0
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503,341.0
CDW,Essex Cty Arpt,Caldwell,NJ,USA,40.87522278,-74.28135667,350.0
CEC,Jack McNamara,Crescent City,CA,USA,41.78015722,-124.2365333,480.0
CEF,Westover AFB,Chicopee,MA,USA,42.19826389,-72.53425833,284.0
CEK,Crete Municipal,Crete,NE,USA,0.0,0.0,0.0
CEM,Central,Central,AK,USA,65.57380667,-144.7832908,222.0
CEU,Oconee County Regional,Clemson,SC,USA,0.0,0.0,472.0
CEV,Mettel,Connersville,IN,USA,0.0,0.0,88.0
CEW,Bob Sikes,Crestview,FL,USA,0.0,0.0,0.0
CEY,Kyle-Oakley,Murray,KY,USA,0.0,0.0,0.0
CEZ,Cortez Muni,Cortez,CO,USA,0.0,0.0,0.0
CFD,Coulter,Bryan,TX,USA,30.71569444,-96.33136111,488.0
CFJ,Crawfordsville Municipal,Crawfordsville,IN,USA,0.0,0.0,475.0
CFK,Chefornak,Chefornak,AK,USA,60.14922556,-164.2856325,86.0
CFT,Greenlee County,Clifton-Morenci,AZ,USA,32.95284306,-109.2103453,0.0
CFV,Coffeyville Municipal,Coffeyville,KS,USA,0.0,0.0,0.0
CGA,Craig SPB,Craig,AK,USA,55.47883139,-133.1478011,470.0
CGC,Crystal River,Crystal River,FL,USA,28.86727778,-82.57130556,0.0
CGE,Cambridge-Dorchester,Cambridge,MD,USA,0.0,0.0,0.0
CGF,Cuyahoga County,Cleveland,OH,USA,41.56512389,-81.48635389,0.0
CGI,Cape Girardeau Municipal,Cape Girardeau,MO,USA,0.0,0.0,0.0
CGS,College Park,College Park,MD,USA,0.0,0.0,255.0
CGX,Chicago Meigs,Chicago,IL,USA,0.0,0.0,17.0
CGZ,Casa Grande Municipal,Casa Grande,AZ,USA,0.0,0.0,0.0
CHA,Lovell,Chattanooga,TN,USA,0.0,0.0,0.0
CHD,Chandler Municipal,Chandler,AZ,USA,0.0,0.0,0.0
CHK,Chickasha Municipal,Chickasha,OK,USA,35.09614694,-97.96618361,0.0
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,0.0,0.0,0.0
CHP,Circle Hot Springs,Circle Hot Springs,AK,USA,65.48547222,-144.6107836,31.0
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,0.0
CHT,Chillicothe Municipal,Chillicothe,MO,USA,0.0,0.0,0.0
CHU,Houston County,Caledonia,MN,USA,0.0,0.0,195.0
CIC,Chico Municipal,Chico,CA,USA,39.79538278,-121.8584231,247.0
CID,Eastern Iowa,Cedar Rapids,IA,USA,0.0,0.0,0.0
CII,Choteau,Choteau,MT,USA,0.0,0.0,0.0
CIK,Chalkyitsik,Chalkyitsik,AK,USA,66.64969083,-143.7359492,289.0
CIN,Arthur N Neu,Carroll,IA,USA,0.0,0.0,0.0
CIR,Cairo,Cairo,IL,USA,0.0,0.0,0.0
CIU,Chippewa County International,Sault Ste. Marie,MI,USA,0.0,0.0,299.0
CJR,Culpeper Regional,Culpeper,VA,USA,0.0,0.0,0.0
CJX,Crooked Creek,Crooked Creek,AK,USA,61.86902194,-158.1371178,154.0
CKB,Benedum,Clarksburg,WV,USA,39.29663889,-80.22808333,82.0
CKC,Grand Marais/Cook County,Grand Marais,MN,USA,47.83830556,-90.38313889,0.0
CKF,Crisp County - Cordele,Cordele,GA,USA,31.98883333,-83.77391667,0.0
CKI,Williamsburg County,Kingstree,SC,USA,0.0,0.0,175.0
CKM,Fletcher,Clarksdale,MS,USA,0.0,0.0,113.0
CKN,Crookston Muni Kirkwood,Crookston,MN,USA,47.84169417,-96.62162028,313.0
CKP,Cherokee Municipal,Cherokee,IA,USA,0.0,0.0,0.0
CKU,Cordova Muni,Cordova,AK,USA,60.54390333,-145.7267042,471.0
CKV,Outlaw,Clarksville,TN,USA,0.0,0.0,0.0
CKX,Chicken,Chicken,AK,USA,64.07133833,-141.9522792,127.0
CLD,MC Clellan-Palomar Airport,,,USA,33.127231,-117.278727,377.0
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,0.0,0.0,68.0
CLI,Clintonville Municipal,Clintonville,WI,USA,0.0,0.0,66.0
CLK,Clinton Municipal,Clinton,OK,USA,0.0,0.0,0.0
CLL,Easterwood,College Station,TX,USA,0.0,0.0,344.0
CLM,William R Fairchild Intl,Port Angeles,WA,USA,48.12019444,-123.4996944,263.0
CLP,Clarks Point,Clarks Point,AK,USA,58.84230472,-158.5452331,266.0
CLS,Chehalis-Centralia,Chehalis,WA,USA,46.67649194,-122.9792967,231.0
CLT,Charlotte/Douglas International,Charlotte,NC,USA,0.0,0.0,398.0
CLW,Clearwater Air Park,Clearwater,FL,USA,0.0,0.0,0.0
CMA,Camarillo,Camarillo,CA,USA,34.21375472,-119.0943264,6.0
CMH,Port Columbus Intl,Columbus,OH,USA,0.0,0.0,340.0
CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,0.0,0.0,332.0
CMX,Houghton County Memorial,Hancock,MI,USA,0.0,0.0,0.0
CMY,Sparta/Fort McCoy,Sparta,WI,USA,0.0,0.0,0.0
CNC,Chariton Municipal,Chariton,IA,USA,41.01962389,-93.35968028,0.0
CNH,Claremont Municipal,Claremont,NH,USA,43.37043194,-72.36867667,126.0
CNK,Blosser Municipal,Concordia,KS,USA,0.0,0.0,446.0
CNM,Cavern City Air Terminal,Carlsbad,NM,USA,0.0,0.0,0.0
CNO,Chino,Chino,CA,USA,33.97469444,-117.6366111,465.0
CNP,Billy G Ray,Chappell,NE,USA,0.0,0.0,393.0
CNU,Chanute Martin Johnson,Chanute,KS,USA,0.0,0.0,0.0
CNW,TSTC-Waco,Waco,TX,USA,31.63783139,-97.07413889,0.0
CNY,Canyonlands,Moab,UT,USA,0.0,0.0,447.0
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961,0.0
COE,Coeur D'Alene Air Terminal,Coeur D'Alene,ID,USA,47.77429167,-116.8196231,25.0
COI,Merritt Island,Merritt Island,FL,USA,28.34158944,-80.6854975,446.0
COM,Coleman Municipal,Coleman,TX,USA,0.0,0.0,156.0
CON,Concord Municipal,Concord,NH,USA,43.20273278,-71.50228556,414.0
COQ,Cloquet-Carlton County,Cloquet,MN,USA,46.70016833,-92.50552861,0.0
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,472.0
COT,Cotulla-Lasalle County,Cotulla,TX,USA,0.0,0.0,0.0
COU,Columbia Regional,Columbia,MO,USA,0.0,0.0,116.0
CPC,Columbus County Municipal,Whiteville,NC,USA,0.0,0.0,170.0
CPK,Chesapeake Municipal,Norfolk,VA,USA,0.0,0.0,0.0
CPM,Compton/Woodley,Compton,CA,USA,33.89001611,-118.2436831,453.0
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.4644661,0.0
CPS,St. Louis Downtown,Cahokia/St. Louis,IL,USA,0.0,0.0,438.0
CPX,Benjamin Rivera Noriega,Isla De Culebra,PR,USA,18.31328917,-65.30432444,245.0
CQA,Lakefield,Celina,OH,USA,0.0,0.0,159.0
CQB,Chandler Municipal,Chandler,OK,USA,35.72381556,-96.82027306,74.0
CQX,Chatham Municipal,Chatham,MA,USA,41.68840028,-69.98952417,295.0
CRC,Circle City,Circle,AK,USA,65.83049389,-144.0758128,179.0
CRE,Grand Strand,North Myrtle Beach,SC,USA,0.0,0.0,129.0
CRG,Craig Municipal,Jacksonville,FL,USA,0.0,0.0,0.0
CRO,Corcoran,Corcoran,CA,USA,36.10245111,-119.5948469,321.0
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,0.0
CRQ,McClellan-Palomar,Carlsbad,CA,USA,33.12822222,-117.2802222,100.0
CRS,C Davis Campbell -Corsicana Muni,Corsicana,TX,USA,0.0,0.0,157.0
CRT,Crossett Municipal,Crossett,AR,USA,33.17833278,-91.88018806,11.0
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,487.0
CRX,Roscoe Turner,Corinth,MS,USA,34.91496778,-88.60348361,0.0
CSB,Cambridge Municipal,Cambridge,NE,USA,0.0,0.0,0.0
CSG,Columbus Metropolitan,Columbus,GA,USA,0.0,0.0,0.0
CSM,Clinton-Sherman,Clinton,OK,USA,35.33983917,-99.20049944,0.0
CSQ,Creston Municipal,Creston,IA,USA,0.0,0.0,0.0
CSV,Crossville Memorial,Crossville,TN,USA,35.95129194,-85.08497806,483.0
CTB,Cut Bank Muni,Cut Bank,MT,USA,0.0,0.0,0.0
CTJ,West Georgia Regional,Carrollton,GA,USA,0.0,0.0,0.0
CTK,Ingersoll,Canton,IL,USA,0.0,0.0,0.0
CTY,Cross City,Cross City,FL,USA,29.63552778,-83.10475,498.0
CTZ,Sampson County,Clinton,NC,USA,0.0,0.0,0.0
CUB,Columbia Owens Downtown,Columbia,SC,USA,0.0,0.0,197.0
CUH,Cushing Municipal,Cushing,OK,USA,0.0,0.0,0.0
CUL,Carmi Municipal,Carmi,IL,USA,0.0,0.0,230.0
CUT,Custer County,Custer,SD,USA,0.0,0.0,0.0
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,0.0,0.0,0.0
CVK,Sharp County Regional,Ash Flat,AR,USA,0.0,0.0,0.0
CVN,Clovis Municipal,Clovis,NM,USA,34.42513889,-103.0792778,136.0
CVO,Corvallis Muni,Corvallis,OR,USA,44.49719361,-123.2898297,383.0
CVX,Charlevoix Municipal,Charlevoix,MI,USA,0.0,0.0,30.0
CWA,Central Wisconsin,Mosinee,WI,USA,0.0,0.0,0.0
CWF,Chennault International,Lake Charles,LA,USA,30.21059167,-93.14318944,130.0
CWI,Clinton Municipal,Clinton,IA,USA,0.0,0.0,0.0
CWV,Claxton-Evans County,Claxton,GA,USA,0.0,0.0,0.0
CXC,Chitina,Chitina,AK,USA,61.58285917,-144.4270969,221.0
CXE,Chase City Municipal,Chase City,VA,USA,0.0,0.0,311.0
CXF,Coldfoot,Coldfoot,AK,USA,67.25163417,-150.2065672,292.0
CXL,Calexico International,Calexico,CA,USA,32.66950333,-115.5133281,254.0
CXO,Montgomery County,Conroe,TX,USA,0.0,0.0,130.0
CXP,Carson,Carson City,NV,USA,39.19222972,-119.7343611,198.0
CXU,Camilla-Mitchell County,Camilla,GA,USA,31.21291667,-84.23680556,452.0
CXY,Capital City,Harrisburg,PA,USA,0.0,0.0,378.0
CYO,Pickaway County Memorial,Circleville,OH,USA,0.0,0.0,0.0
CYS,Cheyenne,Cheyenne,WY,USA,0.0,0.0,0.0
CYW,Clay Center Municipal,Clay Center,KS,USA,0.0,0.0,37.0
CZD,Cozad Municipal,Cozad,NE,USA,0.0,0.0,0.0
CZG,Tri-Cities,Endicott,NY,USA,0.0,0.0,7.0
CZL,Tom B David,Calhoun,GA,USA,0.0,0.0,0.0
CZN,Chisana,Chisana,AK,USA,62.07118972,-142.0483742,55.0
CZT,Dimmit County,Carrizo Springs,TX,USA,0.0,0.0,3.0
D04,Bowman Municipal,Bowman,ND,USA,0.0,0.0,0.0
D05,Garrison Municipal,Garrison,ND,USA,0.0,0.0,490.0
D07,Faith Municipal,Faith,SD,USA,0.0,0.0,0.0
D09,Bottineau Municipal,Bottineau,ND,USA,0.0,0.0,298.0
D19,Quentin Aanenson,Luverne,MN,USA,43.62080278,-96.21864028,0.0
