Test1Score,Test2Score,class
62.3336785258,96.5035137111,A
80.3984791331,47.2296141411,C
66.8530633132,73.0162127508,A
50.0978392028,64.8142064771,C
68.2085992423,77.6943416587,C
27.2171561797,19.8003168283,B
58.8396575055,70.9586300772,B
20.5319981847,1.668168212,B
53.1689986827,94.5881853696,A
26.0530632292,16.5117193182,B
8.9362831825,27.9246738336,B
59.5150311881,30.3987145796,C
95.3250020231,32.9809147169,C
62.7190024706,41.2000453291,C
39.3739225398,90.2066631746,A
63.7995263271,39.9465615386,C
-0.1680827331,25.3171948819,C
65.3611122085,15.6304592648,C
56.1469713055,62.0544527081,A
75.2945939644,26.2689876306,B
34.6308717985,49.025393348,A
54.5664451464,63.6649422447,A
14.4954368941,42.5531187317,B
32.5796676903,1.5649013419,B
3.96929631,26.5229369077,A
25.971402779,25.8891897691,B
79.4629563819,18.3478569541,A
21.6763895511,12.0726330116,B
86.3392856632,44.3027447776,C
0.9212392707,27.0254593985,B
87.8370064285,32.2073869304,C
-0.58520573,26.0198389047,B
24.4261512716,27.8118866306,B
90.9308188817,37.3786848853,C
-0.9732390486,11.4014067847,B
61.6898164938,28.8486985876,B
80.4616402467,9.9919584767,C
40.2921137469,98.4003830271,A
61.5167370199,25.2644325177,B
44.9805995624,96.9591594427,A
66.2285818199,29.2360506107,C
58.628535042,84.7680410848,B
33.0151824315,78.3880843042,C
10.9086134417,11.4331288236,B
33.5835416282,54.4853799144,B
19.6748393148,14.8167089518,A
52.8351759733,88.3374638335,A
67.1043001681,78.0115450872,A
66.0071207085,39.2854983785,C
74.8356676517,24.2741031552,C
55.1917685796,71.0646624139,A
92.0409881625,33.9207687432,B
62.8746473626,88.4968483687,A
36.3152369751,4.1338215126,A
51.3476501753,87.8061325436,A
87.2189554461,12.1701664179,C
18.7804856969,45.0860398509,B
35.10927464,41.7419318765,A
93.9762928485,17.4708810645,C
46.9888544722,41.2460323811,B
42.5455955599,29.8754197784,B
47.271853803,84.1764237484,C
85.7134449988,13.6223373402,C
47.4647884862,21.7071147951,B
87.6260094869,22.2054236839,B
35.739954854,92.6318409061,C
49.7852725281,66.6254173093,C
38.7656405195,51.4172853684,C
73.618851446,43.138886422,C
36.1576050699,68.4883782469,A
14.0897955425,16.3739683957,A
23.0782841599,46.1486494429,B
50.0686398068,61.8049418173,A
16.5670068261,35.9328579066,A
42.4834149483,33.6162906982,A
57.5527383055,98.6800005139,A
42.6863618974,70.7953928476,A
9.2644243317,55.1894075924,B
7.8508617604,7.772833011,B
85.3710861032,21.0884683533,C
41.6820947455,22.2152940612,B
-0.2786416546,20.658819732,B
87.0049008423,22.1299749788,C
71.7701106597,16.8359124192,B
70.4425026111,40.7748116461,C
45.0918678905,80.5648675692,A
92.480004671,37.1179363679,C
90.6207448539,27.3645076241,C
0.0491309153,30.8904085315,B
59.929116023,22.574632107,C
50.8932431409,92.1647797534,B
45.5223733064,36.7448893979,B
81.5479955268,16.1654713307,C
40.534590256,80.6895305747,B
34.6454339523,81.6384703957,A
90.9054666482,24.4901881466,C
19.1686826064,41.2881459577,B
1.9222306812,16.0419123916,B
73.1124646841,32.9335469255,C
50.2617128587,61.9152650767,B
36.3677527135,91.9546281973,A
55.5620813244,98.198079141,A
67.3559474058,13.6436565013,C
89.0442377027,43.2583558097,C
32.6752579831,76.37808057,A
45.8129348008,84.0159407574,C
34.778864781,39.3928951463,B
40.3159117551,86.5182531438,A
39.7327038859,88.5212603824,A
-7.5158342873,24.5996471841,B
96.3792774679,26.121838438,C
21.205311648,3.7396498911,B
42.9744193917,85.9848129073,C
67.02204134,41.6640323235,C
67.754627355,73.8815837367,A
23.9931919438,20.9963485865,C
56.0262638403,92.0692546803,B
40.0598449025,51.5679817163,B
47.2445975196,73.3222774981,B
42.1595394873,9.7300211817,B
47.3657556743,70.9036054876,A
16.8143283893,48.4245030897,B
67.6801335872,18.2345143865,C
40.5223023992,27.5336987458,B
45.9570726326,81.1562722888,C
61.3325989306,86.2127274094,A
12.1211375955,5.2565078323,B
30.8538818015,16.6428383077,B
20.1689451527,5.7553369168,B
2.4575409742,42.029573611,B
72.5171622912,18.3543444814,C
75.5696375078,39.1004888917,C
85.0474897942,34.5460325523,C
62.6896715605,18.7539346927,C
89.7653564711,42.0150021027,C
10.056009055,7.1238331841,B
75.415795799,32.3739743928,C
42.849611673,83.5413812264,A
75.4515231205,33.1384626325,C
3.8419854037,36.2828057558,B
92.8688771704,42.2334519167,C
95.7303960419,25.0520725997,C
66.4678302851,17.3528690425,C
61.6216135661,28.3939938121,C
9.7804775772,5.6534853697,B
75.3846782678,46.8683819195,C
51.0115674064,65.0892528599,A
74.2104463158,40.9749378839,A
76.2436012278,23.2015470207,C
79.9578639347,32.9489697354,C
76.379652165,24.6716989668,C
80.3548071541,43.1306893274,C
75.1241574901,14.6663578631,C
29.7563049194,36.3327257671,B
65.5320390598,32.9990967034,C
69.9996228296,81.150639347,A
68.9727452683,24.7126697995,C
66.8763156369,79.0035091602,A
67.8356332396,14.4797949392,C
25.2429993482,45.8722154091,B
45.9231194598,87.7615220486,A
12.6597107457,52.2083875221,B
49.4025619713,75.3742566582,B
59.0568601572,94.9817786517,C
68.8872892477,78.7278516633,A
13.2273753954,16.1141268328,B
37.3429979266,32.850219199,B
35.7574384429,10.0543364563,B
85.8566980621,44.4982308359,C
46.6089181137,76.2665720902,A
66.7876435671,78.3122615716,C
81.1951554285,32.6141243279,C
60.9566948505,67.8981168189,A
60.7194093796,87.0541989719,A
62.5972284928,34.2780000359,C
34.5887046939,4.9155442573,B
59.6245904666,32.2905275646,B
76.5898899693,39.5056590415,C
62.7596632019,93.7978205242,A
59.6977929132,73.6734053308,A
50.2677274342,65.9254595761,C
61.2573020275,82.1190146187,A
38.7568637228,32.1693062853,B
77.5205679101,27.7523187407,C
25.8315269551,7.4239012496,C
70.1858780258,30.1551701914,C
70.1342713781,38.0941546099,C
11.5671623902,13.3872473316,B
53.4662828832,85.6633181437,A
33.9047077389,25.052169214,B
68.5204374446,81.5167529793,A
81.2921550265,18.0162719376,C
87.267010639,28.4357304188,C
46.5591610908,75.7741653086,C
78.1083243524,25.9808939788,C
51.561926482,71.7706430721,B
39.4142763688,34.9150742367,A
68.9290953346,74.3313039079,A
12.7617692733,18.2189486652,B
66.3715152524,14.708425911,C
53.6258508229,65.6993223459,A
79.2987070779,43.3954311611,C
15.2418512467,50.4236137905,B
88.1869886422,40.7958638489,C
89.7954023431,21.1830808129,A
35.1361710607,5.9668677057,B
94.8306334291,19.3407847861,C
63.5105161947,90.6390636306,A
85.8258836864,23.4884677014,B
78.6865897822,36.5864888439,C
81.0836492065,39.9401584749,C
3.5539405171,51.4034543562,B
96.3537622018,33.8083244676,A
40.7271617477,64.390553123,B
21.3936868469,19.0853271813,B
40.1601010212,88.3423439002,A
64.8354477161,17.7592812268,C
-2.8020192372,29.1909804515,B
12.5593267101,28.286765676,A
67.1364638385,38.170597943,C
87.7676997908,16.0831116048,C
81.4587783686,9.9502881208,C
19.6888327063,56.6067194281,B
75.5368269151,24.9740232444,C
97.0556614485,32.3625580948,C
66.8300109057,20.2603196478,C
-5.4500270689,25.5082630469,B
39.9750783212,36.1499958987,C
32.5884497579,57.1715172638,B
88.1865525823,16.8419263787,C
30.5662842723,44.8463521934,A
-3.5631636946,36.7094244389,C
39.031785279,72.3220112563,A
24.9411771496,2.8146604109,B
25.4296234811,45.3774919213,B
63.671510119,90.9947612452,A
84.3731435757,17.7996104247,C
21.5964265734,26.5136038229,B
10.6995448365,54.0206024743,B
30.8304027052,48.2022723739,C
7.1475146835,54.306896661,B
80.1509249174,24.3305419691,B
36.8260979013,85.4467254885,A
42.2610262869,32.8244258678,A
47.2492496349,31.4650096058,C
2.8930770022,14.0015988286,B
29.1348385592,48.7009716166,A
62.9107514787,68.8747627195,C
41.2358540703,85.7786276493,A
31.9818200576,77.5272037245,A
70.0204335409,33.6008440102,C
36.8363229142,68.0853642659,A
52.1757927294,66.6279949282,B
-0.1224910148,23.7271899381,B
75.6071764725,17.2449399021,C
-6.7953095371,35.8786233256,B
41.4817219576,62.9673900937,A
33.8627078873,72.3784914377,A
34.6707552607,83.329802492,C
2.6561770369,19.919101798,B
43.00172533,85.5695041796,A
78.679242643,23.6124813345,C
80.3763058807,13.4974217035,B
82.00510516,26.097230181,C
31.4896628059,79.9789659205,C
53.0390480677,63.0625112583,A
0.7556560686,39.3213216033,B
66.6017428288,35.1670552291,C
42.7607717822,77.6582601986,A
41.196018957,63.170057618,A
40.8971232317,77.895744361,B
88.5556557825,42.7220831431,B
17.2872030975,36.5537171916,C
0.421711433,40.6552206769,B
49.2619380371,66.4092260772,A
-8.1282945439,27.859356246,B
80.2177224887,17.7218242421,C
30.4194555343,51.5030960963,B
2.2460999971,35.0967366458,B
23.6025873621,12.536371295,B
81.7288180628,17.4823718578,C
35.8319150719,77.4819401833,A
73.3864564819,24.3149111865,C
83.6449563406,14.4004418905,C
11.4881378272,48.5034657949,B
61.7519319039,34.2645769065,C
49.3799095835,75.6862408368,A
45.001618102,97.1050500596,A
75.7202343514,14.1637269129,C
83.5798545947,23.0774953774,B
62.8868242162,76.5406861999,A
40.1748568254,43.3970571716,B
65.5169223729,92.22011485,A
15.3677765716,11.1045642432,B
69.9518881849,21.7246607697,C
64.640150028,71.5364676208,A
54.5298403393,71.6445576239,A
-0.3156657417,39.9280947978,B
89.9520629449,27.7115423932,B
72.4668580817,40.8972800285,C
48.9263405638,86.0541339877,A
36.0715974929,34.8461511232,B
-4.8060280797,16.9682078328,B
11.1796153024,27.9480806384,B
84.754719929,37.4409401536,B
32.5803218075,11.9694531612,B
38.2391340007,76.6314685605,A
26.0269349467,40.3822302853,C
48.8895554224,91.0348334147,B
60.7765779455,77.5279482474,A
60.5056734226,66.4737538464,A
28.684660986,11.7910310507,B
32.3411174015,10.8015188135,A
44.2327956392,80.9233358983,B
61.9399123757,24.6827728704,A
14.1200659629,5.4238024001,B
63.5298631734,84.9797724351,A
64.0,50.0,A
95.0,19.0,A
56.0,1.0,C
90.0,42.0,A
37.0,59.0,B
61.0,77.0,B
52.0,39.0,B
60.0,51.0,C
16.0,35.0,C
64.0,88.0,B
60.0,85.0,B
87.0,46.0,C
14.0,68.0,B
92.0,29.0,B
82.0,67.0,A
6.0,59.0,C
88.0,37.0,C
1.0,67.0,C
32.0,61.0,C
66.0,41.0,C
43.0,96.0,C
1.0,27.0,C
39.0,98.0,A
12.0,73.0,A
42.0,68.0,C
74.0,63.0,B
95.0,99.0,B
47.0,93.0,C
41.0,32.0,B
67.0,57.0,A
85.0,45.0,A
3.0,9.0,B
21.0,87.0,C
96.0,9.0,B
24.0,47.0,C
87.0,22.0,C
6.0,22.0,A
75.0,27.0,A
96.0,36.0,B
29.0,24.0,C
44.0,5.0,C
50.0,22.0,A
61.0,2.0,B
5.0,25.0,B
67.0,44.0,C
87.0,59.0,A
21.0,4.0,A
8.0,82.0,B
37.0,71.0,B
67.0,48.0,B
33.0,54.0,C
84.0,46.0,B
49.0,21.0,C
77.0,13.0,C
97.0,15.0,B
100.0,68.0,A
27.0,57.0,B
77.0,76.0,C
95.0,97.0,C
9.0,26.0,B
33.0,62.0,A
60.0,98.0,A
98.0,74.0,B
99.0,17.0,A
44.0,67.0,B
98.0,71.0,C
98.0,58.0,A
79.0,73.0,A
20.0,76.0,C
35.0,17.0,C
24.0,66.0,C
46.0,4.0,A
96.0,20.0,C
54.0,68.0,C
99.0,88.0,A
91.0,37.0,B
70.0,75.0,C
91.0,71.0,B
98.0,63.0,C
84.0,31.0,A
73.0,70.0,A
35.0,19.0,A
36.0,20.0,C
46.0,91.0,A
65.0,55.0,A
38.0,11.0,A
21.0,1.0,B
38.0,55.0,B
9.0,97.0,C
70.0,61.0,A
30.0,76.0,C
5.0,0.0,A
4.0,56.0,A
100.0,23.0,B
61.0,49.0,B
74.0,98.0,B
2.0,87.0,A
44.0,41.0,C
0.0,85.0,B
64.0,33.0,C
32.0,87.0,A
70.0,37.0,A
68.0,96.0,A
72.0,55.0,C
83.0,19.0,A
59.0,56.0,A
95.0,99.0,C
8.0,47.0,C
16.0,69.0,A
76.0,16.0,C
73.0,12.0,B
62.0,36.0,A
17.0,30.0,A
87.0,12.0,C
41.0,0.0,B
64.0,23.0,B
20.0,43.0,A
16.0,54.0,C
48.0,80.0,B
93.0,24.0,A
72.0,41.0,C
20.0,94.0,C
55.0,60.0,A
5.0,93.0,B
61.0,59.0,C
72.0,43.0,B
67.0,2.0,B
31.0,37.0,C
77.0,1.0,C
95.0,22.0,C
44.0,30.0,C
7.0,93.0,C
6.0,14.0,B
51.0,34.0,B
31.0,67.0,B
92.0,86.0,A
35.0,71.0,A
18.0,39.0,C
71.0,72.0,B
33.0,30.0,C
84.0,78.0,C
71.0,19.0,C
87.0,40.0,B
82.0,68.0,B
77.0,75.0,A
58.0,58.0,A
56.0,92.0,A
87.0,89.0,C
45.0,14.0,A
65.0,82.0,A
68.0,72.0,C
61.0,12.0,C
84.0,2.0,B
63.0,49.0,C
71.0,26.0,A
66.0,24.0,C
35.0,62.0,A
51.0,51.0,B
38.0,70.0,C
18.0,6.0,A
0.0,73.0,B
55.0,45.0,A
17.0,11.0,C
26.0,98.0,A
43.0,46.0,A
16.0,70.0,C
64.0,32.0,A
7.0,57.0,B
42.0,90.0,B
53.0,82.0,A
17.0,90.0,A
69.0,14.0,B
68.0,78.0,C
32.0,85.0,A
95.0,35.0,B
98.0,17.0,C
90.0,79.0,A
82.0,86.0,C
47.0,9.0,C
5.0,98.0,B
35.0,99.0,B
61.0,30.0,C
10.0,51.0,A
5.0,100.0,A
98.0,20.0,B
79.0,75.0,B
71.0,58.0,A
32.0,60.0,A
82.0,70.0,C
78.0,91.0,C
27.0,32.0,B
73.0,10.0,A
38.0,58.0,B
49.0,14.0,C
74.0,41.0,B
7.0,10.0,C
36.0,43.0,A
1.0,29.0,B
99.0,73.0,C
15.0,70.0,C
